session,modelname_new,body_mass_kg,height_m,rta_mass_kg,rta_length_m,rta_depth_radius_m,rta_shoulder_radius_m,rta_ixx_kg_m2,rta_iyy_kg_m2,rta_izz_kg_m2,rta_izz_frame_mean_kg_m2,rta_izz_frame_sd_kg_m2,rta_izz_frame_range_kg_m2,rta_izz_max_frame_deviation_pct,rta_izz_mean_coordinate_difference_pct,max_static_marker_spread_m,izz_pred_constant_kz_loocv,izz_ape_constant_kz_loocv_pct,izz_pred_mass_height_sq_loocv,izz_ape_mass_height_sq_loocv_pct,izz_pred_mass_power_loocv,izz_ape_mass_power_loocv_pct,izz_pred_mass_height_power_loocv,izz_ape_mass_height_power_loocv_pct,izz_pred_mass_height_both_power_loocv,izz_ape_mass_height_both_power_loocv_pct
1561,000949_001561_model.c3d,118.3896,1.9304,42.028307999999996,0.30366217115779276,0.09073822988307563,0.1472848077334344,0.40946426951036746,0.5508830979818373,0.31443731799679336,0.31443736664063326,8.958597342371474e-05,0.00033297161425610566,0.07359785058498047,-1.547012301543958e-05,0.0004078129229357542,0.29426020004171605,6.416896723207353,0.31544266568162205,0.3197291247850346,0.33895413921236794,7.797045647051538,0.294431374864792,6.3624582665488205,0.3389513852842169,7.796169819662929
1562,000874_001562_model.c3d,95.7096,1.8542,33.976907999999995,0.2570624526871854,0.07989042411292681,0.15414668052789743,0.24131686703790386,0.3889356533406813,0.25604725189429317,0.25604731460557884,9.919364566550847e-05,0.00024184587646702838,0.04808593082634907,-2.449207527142838e-05,0.0002882424542317098,0.23796406955926444,7.062439530690301,0.23503734982202396,8.205478448541587,0.24077829470819137,5.963335701960767,0.23279341117682903,9.08185522220105,0.2411089758877722,5.834187204121259
1574,000952_001574_model.c3d,87.0912,1.9304,30.917375999999997,0.2841940786053043,0.0774547244686866,0.15284050336337954,0.2544602518945278,0.388649278111114,0.2269293181564905,0.2269293278640462,5.127521192261465e-05,0.00013708073059123804,0.0320475369752383,-4.277788248161212e-06,0.0002165361045052773,0.21662307445456572,4.54160960146084,0.23208946003182454,2.2738982857100902,0.20739794211853968,8.606810348093491,0.21668412790613364,4.514705430565731,0.2052175760255583,9.567623217357836
1581,000956_001581_model.c3d,94.8024,1.7018,33.654852,0.2613936741849459,0.09027255693828769,0.15504971584216193,0.2601914284471359,0.3938960962787654,0.270833626203182,0.27083364546987804,1.204408551788711e-05,4.38271763870679e-05,0.009125348021921031,-7.113849297989079e-06,0.00010857200731761032,0.23552462058094098,13.037157208740352,0.19573848645344283,27.727406231825174,0.23699036651239458,12.49595929620567,0.21719672218661273,19.80437391342623,0.23898574542355216,11.759204802633063
1601,000628_001601_model.c3d,103.8744,1.8542,36.875412,0.2572049240311014,0.0939386864938981,0.1470626224141756,0.28464070110562706,0.4026691053359059,0.2807315134449205,0.2807315314595999,7.581723268906579e-05,0.0001830947193532384,0.03317310264666431,-6.417049227500716e-06,0.00025473083154022784,0.25818818886607364,8.030208045478242,0.25500729516786014,9.163281300838864,0.2740564718713794,2.3777314814536274,0.2526265613760398,10.01132780712732,0.2750767132887079,2.0143090053628874
1603,000884_001603_model.c3d,91.1736,1.7526,32.366628,0.26591299737374635,0.08412834767123353,0.1464605420155167,0.24798894683053507,0.3642912349946654,0.23084096956955658,0.23084103070921358,0.00010173812934885747,0.00029005843068349857,0.06884879265297715,-2.6485617833711954e-05,0.00022119998574358297,0.22683551367240903,1.7351581500530067,0.1999855451566281,13.366528684428866,0.2231040886333183,3.35160649804281,0.2145696492309619,7.048714259403526,0.2253020665200119,2.3994454103502254
1612,000625_001612_model.c3d,91.1736,1.8034,32.366628,0.2549394940113358,0.08222393253848939,0.14715953569619994,0.23000931743776054,0.3505357934693107,0.22993822206845402,0.22993823633741928,2.767827860170304e-05,7.892507294951501e-05,0.020625832427020884,-6.205564751695972e-06,0.0006742195593350619,0.22684460701172754,1.345411401765771,0.211843394381941,7.869430112026386,0.22311300618038618,2.9682824485073773,0.21836144790036358,5.0347324007071625,0.2242298907612046,2.482549989253212
1615,000830_001615_model.c3d,87.5448,1.778,31.078403999999995,0.2083604696442166,0.08143144578313462,0.1566539111072282,0.16395755549473415,0.30310619515432086,0.2421903368880905,0.24219035907998493,4.5182882956513224e-05,0.00012546151757117374,0.027034967463076577,-9.162997466514602e-06,0.00024779177985734675,0.21761967483203065,10.145186786462613,0.19753000405163665,18.440179492830122,0.20898296831298596,13.711268996850501,0.20749259434076484,14.32664200940376,0.2100587697409907,13.267072320043438
1620,000967_001620_model.c3d,92.0808,1.8542,32.688683999999995,0.2439251646445374,0.08016278299103799,0.13926585057502763,0.2145949486087995,0.32057906088959437,0.21101402711847725,0.2110140516827041,0.00010612553576077452,0.00026926985588490715,0.07021467787692943,-1.1641039784172197e-05,0.0002111537556222934,0.22931912392792084,8.674824635788736,0.22649747202739706,7.337637748710602,0.22686860179754512,7.5135169427225135,0.22431814614347464,6.304850538456186,0.22693671565882148,7.545796247660911
1623,000970_001623_model.c3d,81.648,1.7526,28.985039999999998,0.2617534457198362,0.07324356835230494,0.14301119114467217,0.20436561200111134,0.3136941429854717,0.18707539804667123,0.18707540978892495,1.585372248001253e-05,4.678499143753734e-05,0.013631912089585507,-6.276749293342028e-06,0.00018611764812674958,0.20330182377619954,8.673735776566502,0.17925793042544688,4.178779092734608,0.18749171335993817,0.22253878255177037,0.19273931698702665,3.027612930131197,0.18890024892913843,0.9754627821301971
