user,session_pitch,session_mass_kg,session_height_m,age_yrs,pitch_speed_mph,lead_knee_extension_angular_velo_max,lead_knee_velo_peak_reconstructed,lead_knee_velo_peak_time,trunk_flexion_velo_peak_fp_br,trunk_flexion_velo_peak_time,trunk_flexion_velo_peak_after_knee_peak,trunk_flexion_peak_after_knee_peak_time,knee_peak_precedes_trunk_peak,knee_to_trunk_peak_ms
1689,3046_1,78.9264,1.7526,22.71,82.1,154.9506,154.9506,1.3639,487.4893,1.3639,487.4893,1.3639,1.0,0.0
1689,3046_2,78.9264,1.7526,22.71,81.9,185.8191,185.8191,1.4833,459.6038,1.4917,459.6038,1.4917,1.0,8.399999999999963
1689,3046_3,78.9264,1.7526,22.71,81.7,192.0905,192.0905,1.5278,471.5955,1.5389,471.5955,1.5389,1.0,11.099999999999888
1689,3046_4,78.9264,1.7526,22.71,82.3,307.1326,307.1326,1.4278,451.8077,1.5444,451.8077,1.5444,1.0,116.60000000000004
1543,3053_1,93.8952,1.8542,20.77,81.4,155.8095,120.3923,1.3667,440.2102,1.3528,417.3441,1.3667,0.0,-13.900000000000023
1543,3053_2,93.8952,1.8542,20.77,81.4,229.1482,160.0635,1.2417,431.9753,1.2333,422.5959,1.2417,0.0,-8.399999999999963
1543,3053_3,93.8952,1.8542,20.77,81.6,170.3241,170.3241,1.1028,430.1478,1.2194,430.1478,1.2194,1.0,116.60000000000004
1543,3053_4,93.8952,1.8542,20.77,81.3,186.9017,186.9017,1.25,448.5744,1.3111,448.5744,1.3111,1.0,61.09999999999993
1543,3053_5,93.8952,1.8542,20.77,80.9,208.8807,208.8807,1.3583,441.0924,1.45,441.0924,1.45,1.0,91.69999999999989
1692,3055_1,93.4416,1.905,19.61,78.8,459.3714,285.1168,1.6417,341.4639,1.6389,340.1793,1.6417,0.0,-2.7999999999999137
1692,3055_2,93.4416,1.905,19.61,78.5,396.2555,218.5966,1.5056,362.6339,1.6444,362.6339,1.6444,1.0,138.80000000000004
1692,3055_3,93.4416,1.905,19.61,80.5,373.8234,237.7836,1.5917,351.8716,1.5889,351.7876,1.5917,0.0,-2.7999999999999137
1692,3055_4,93.4416,1.905,19.61,79.3,395.1634,210.2713,1.3583,365.883,1.5139,365.883,1.5139,1.0,155.59999999999997
1692,3055_5,93.4416,1.905,19.61,78.3,478.2262,254.5623,1.6,350.6358,1.7417,350.6358,1.7417,1.0,141.69999999999993
675,3065_1,82.5552,1.8288,22.04,89.2,287.8109,271.5417,1.3806,391.9227,1.4083,391.9227,1.4083,1.0,27.70000000000006
675,3065_2,82.5552,1.8288,22.04,89.4,302.6238,285.1692,1.2694,384.7162,1.2444,290.8804,1.2694,0.0,-25.000000000000135
675,3065_3,82.5552,1.8288,22.04,88.9,464.8216,464.8216,1.1139,415.641,1.2167,415.641,1.2167,1.0,102.8
675,3065_4,82.5552,1.8288,22.04,89.3,357.7431,357.7431,1.0722,415.2319,1.1694,415.2319,1.1694,1.0,97.19999999999996
675,3065_5,82.5552,1.8288,22.04,89.1,282.1453,282.1453,1.2333,386.2445,1.2667,386.2445,1.2667,1.0,33.39999999999988
1002,3132_1,97.9776,1.8288,25.07,92.4,259.7944,259.7944,1.4472,446.5432,1.4417,439.5163,1.4472,0.0,-5.50000000000006
1002,3132_2,97.9776,1.8288,25.07,92.2,355.6186,301.7993,2.0361,414.432,2.025,399.8995,2.0361,0.0,-11.099999999999888
1002,3132_3,97.9776,1.8288,25.07,92.1,314.2807,314.2807,1.425,420.393,1.4778,420.393,1.4778,1.0,52.799999999999955
1002,3132_4,97.9776,1.8288,25.07,91.8,316.5085,316.5085,1.4611,440.4779,1.5194,440.4779,1.5194,1.0,58.30000000000002
1002,3132_5,97.9776,1.8288,25.07,91.9,298.1606,298.1606,1.3,424.0641,1.3556,424.0641,1.3556,1.0,55.59999999999987
1737,3140_1,83.916,1.7526,22.85,84.9,187.9739,187.9739,1.0694,488.5361,1.1139,488.5361,1.1139,1.0,44.499999999999986
1737,3140_2,83.916,1.7526,22.85,84.5,202.4913,202.4913,1.0806,448.5845,1.0806,448.5845,1.0806,1.0,0.0
1737,3140_3,83.916,1.7526,22.85,85.8,245.3325,245.3325,1.0139,512.2776,1.0222,512.2776,1.0222,1.0,8.299999999999974
1737,3140_4,83.916,1.7526,22.85,84.3,177.4587,177.4587,1.0278,458.6471,1.0722,458.6471,1.0722,1.0,44.39999999999999
1737,3140_5,83.916,1.7526,22.85,84.4,168.6834,168.6834,1.0639,438.079,1.0778,438.079,1.0778,1.0,13.900000000000023
1756,3172_1,73.4832,1.8288,18.62,78.3,295.9132,295.9132,1.9139,379.2957,1.9611,379.2957,1.9611,1.0,47.20000000000013
1756,3172_2,73.4832,1.8288,18.62,79.2,178.2067,178.2067,1.6361,346.3309,1.7028,346.3309,1.7028,1.0,66.69999999999999
1756,3172_3,73.4832,1.8288,18.62,78.2,224.7987,224.7987,1.4417,390.9617,1.4944,390.9617,1.4944,1.0,52.69999999999997
1756,3172_4,73.4832,1.8288,18.62,78.8,142.5036,142.5036,1.9,381.6999,1.9722,381.6999,1.9722,1.0,72.20000000000005
1756,3172_5,73.4832,1.8288,18.62,77.4,147.1045,147.1045,1.6722,399.3512,1.7389,399.3512,1.7389,1.0,66.69999999999999
572,3222_1,87.5448,1.7018,24.1,77.8,603.3972,379.1614,1.25,580.2767,1.25,580.2767,1.25,1.0,0.0
572,3222_2,87.5448,1.7018,24.1,77.1,578.715,449.8225,1.2083,601.6653,1.2083,601.6653,1.2083,1.0,0.0
572,3222_3,87.5448,1.7018,24.1,77.9,632.5247,441.5636,1.125,581.2565,1.125,581.2565,1.125,1.0,0.0
572,3222_4,87.5448,1.7018,24.1,77.2,587.9681,388.8929,1.1111,552.327,1.1111,552.327,1.1111,1.0,0.0
572,3222_5,87.5448,1.7018,24.1,78.1,706.1824,452.3901,1.1444,566.2825,1.1444,566.2825,1.1444,1.0,0.0
1706,3228_1,93.8952,1.8542,25.16,90.6,279.6977,279.6977,1.5639,399.3208,1.5583,393.2031,1.5639,0.0,-5.600000000000049
1706,3228_2,93.8952,1.8542,25.16,91.1,248.7835,248.7835,1.4472,404.1686,1.4389,392.9115,1.4472,0.0,-8.299999999999974
1706,3228_3,93.8952,1.8542,25.16,92.0,252.1743,252.1743,1.5944,411.8866,1.5833,385.4711,1.5944,0.0,-11.10000000000011
1706,3228_4,93.8952,1.8542,25.16,90.6,262.8235,262.8235,1.7333,419.8143,1.7222,390.2021,1.7333,0.0,-11.10000000000011
1706,3228_5,93.8952,1.8542,25.16,90.8,314.4543,314.4543,1.8889,420.4118,1.8778,388.0677,1.8889,0.0,-11.10000000000011
1659,3232_1,85.2768,1.8034,20.71,82.8,361.0223,361.0223,2.0722,355.7613,2.1889,355.7613,2.1889,1.0,116.6999999999998
1659,3232_2,85.2768,1.8034,20.71,83.4,490.5458,490.5458,2.25,388.8803,2.3583,388.8803,2.3583,1.0,108.29999999999984
1659,3232_3,85.2768,1.8034,20.71,83.3,478.7618,478.7618,2.5139,390.9244,2.6194,390.9244,2.6194,1.0,105.50000000000014
1659,3232_4,85.2768,1.8034,20.71,82.9,413.3827,413.3827,2.7056,383.2255,2.8139,383.2255,2.8139,1.0,108.29999999999984
1659,3232_5,85.2768,1.8034,20.71,82.8,526.9082,526.9082,2.7667,398.1371,2.8722,398.1371,2.8722,1.0,105.4999999999997
1724,3233_1,80.7408,1.905,18.9,85.7,511.2391,511.2391,1.4583,421.3242,1.5694,421.3242,1.5694,1.0,111.09999999999998
1724,3233_2,80.7408,1.905,18.9,86.5,604.3498,604.3498,1.4333,458.6323,1.5528,458.6323,1.5528,1.0,119.49999999999994
1724,3233_3,80.7408,1.905,18.9,85.1,499.0138,471.0719,1.5528,407.7239,1.5417,390.967,1.5528,0.0,-11.099999999999888
1724,3233_4,80.7408,1.905,18.9,86.1,521.434,516.4754,1.3972,422.8048,1.3611,360.0149,1.3972,0.0,-36.10000000000002
1724,3233_5,80.7408,1.905,18.9,85.8,455.1758,455.0477,1.3889,443.5322,1.3528,376.6842,1.3889,0.0,-36.10000000000002
1605,3247_1,87.9984,1.778,20.68,83.1,449.1645,371.099,1.2611,456.8722,1.2417,404.376,1.2611,0.0,-19.400000000000084
1605,3247_2,87.9984,1.778,20.68,84.7,482.3469,393.4388,1.3583,462.4669,1.3417,414.9727,1.3583,0.0,-16.600000000000172
1605,3247_3,87.9984,1.778,20.68,82.1,483.7726,370.691,1.3694,438.8968,1.3556,403.4934,1.3694,0.0,-13.800000000000034
1605,3247_4,87.9984,1.778,20.68,84.6,479.6222,396.1395,1.2083,490.9175,1.1972,459.2038,1.2083,0.0,-11.099999999999888
1605,3247_5,87.9984,1.778,20.68,83.3,416.9123,360.1173,1.725,482.2941,1.7111,437.5746,1.725,0.0,-13.900000000000023
1691,3248_1,81.1944,1.8288,24.02,89.8,374.8797,318.0004,1.6,457.4885,1.5917,441.8332,1.6,0.0,-8.300000000000196
