session_pitch,pitch_speed_mph,session_height_m,p_throws,fp_poi_time,BR_time,n_frames,sjm,sjm_x,sjm_y,sjm_z,fp_local_x,fp_local_y,fp_local_z,br_local_x,br_local_y,br_local_z,pattern,peak_disp_m,peak_tau,final_disp_m,max_disp_norm_height,final_disp_norm_height,late_extra_norm_height,recovery_ratio
1403_1,78.7,1.778,R,0.7417,0.8889,54,0.08858640133004368,0.053605040974592205,0.04907788329223008,0.05064989096014027,1.0731264673692755e-17,0.13471773567302073,0.5202414311597394,5.309437932342735e-18,0.16069953307757007,0.4413978195105307,late_pull,0.08301426922079293,1.0,0.08301426922079293,0.04668969022541784,0.04668969022541784,0.024978736079230447,0.0
1403_2,78.6,1.778,R,0.8917,1.0389,54,0.08094922568154124,0.04824166251956453,0.045558364200817866,0.04636760277537729,-8.180341208921532e-18,0.13423176307264673,0.5213861752889204,-1.1063865164466381e-16,0.15965317260242465,0.438815051562706,late_pull,0.08639582475959408,1.0,0.08639582475959408,0.048591577480086655,0.048591577480086655,0.02696321236358234,0.0
1403_3,77.9,1.778,R,0.6861,0.8278,52,0.08247154649008802,0.04726879600178889,0.04719920500967089,0.048367881403500346,2.052650972721547e-17,0.13739380934912135,0.5225601340061615,-3.99467742020863e-19,0.16022317566462008,0.4395251005118414,late_pull,0.08611618171847897,1.0,0.08611618171847897,0.04843429792940324,0.04843429792940324,0.02380225631468564,0.0
1561_1,86.0,1.9304,R,1.4917,1.6361,53,0.06915852753301117,0.01993941705417198,0.05078206323245568,0.042502983800304345,6.845858952158859e-18,0.13775352985813819,0.658483864655485,-9.810949790223576e-18,0.17143537716629176,0.5474168374793118,late_pull,0.116061842841834,1.0,0.116061842841834,0.060123209097510365,0.060123209097510365,0.03053037901041244,0.0
1561_2,84.6,1.9304,R,1.3556,1.5139,58,0.08165868799533936,0.029978416930545763,0.05990740124385248,0.046696243100131825,1.6988194301511014e-17,0.14027542206274127,0.656369846934729,6.694730356214301e-17,0.17088909795835425,0.5430837538529208,late_pull,0.11734963160394554,1.0,0.11734963160394554,0.0607903188996817,0.0607903188996817,0.034472627339976,0.0
1561_3,86.0,1.9304,R,1.6306,1.7806,55,0.07414346078478938,0.0261150347964552,0.05468645630129907,0.04271591309958907,4.1088444696500344e-17,0.13931016032818333,0.655813214055142,7.835691775214466e-17,0.17063231096773573,0.5441436018679352,late_pull,0.11597921971943072,1.0,0.11597921971943072,0.06008040806021069,0.06008040806021069,0.0334124240638108,0.0
1562_1,91.8,1.8542,R,1.2778,1.3806,38,0.05075541440082088,0.01020254708990494,0.043314831115756236,0.024409947343057577,8.547082322948789e-18,0.1499683356031149,0.60737359040086,-9.491407419085938e-17,0.1968050604590489,0.5044708249024021,late_pull,0.11309797314352611,0.9727626459143955,0.1130604172222139,0.06099556312346355,0.060975308608679696,0.023543802469528884,0.0003320653789662135
1562_2,90.3,1.8542,R,1.3611,1.4722,41,0.058548347824298796,0.012973647733376894,0.05066209917114011,0.026323852396996975,2.8158993972804525e-18,0.14948329159589632,0.6080072762999273,-1.808530918248527e-17,0.1977126792489846,0.5004408546113999,late_pull,0.11788387891593143,1.0,0.11788387891593143,0.06357667938514261,0.06357667938514261,0.02904989971208048,0.0
1562_3,90.6,1.8542,R,1.3444,1.4556,41,0.0575258744867866,0.013248909253974813,0.04885192010221214,0.027334639953300047,-2.2138493777382118e-18,0.1478244475440128,0.6097211310987241,-2.0371563790142648e-17,0.1962133588148597,0.49860234688837074,late_pull,0.12119765236325727,1.0,0.12119765236325727,0.06536385091320099,0.06536385091320099,0.031154521850063958,0.0
1574_1,89.8,1.9304,R,1.1861,1.3444,58,0.0776347488895181,0.04063013026935123,0.05028236303543818,0.04298872779004378,2.8932480987868947e-18,0.14555312025930625,0.5674018894776257,4.974263357664682e-18,0.17150679809344677,0.46177788027116856,late_pull,0.10962322284147968,0.9128237523689197,0.10876591706028181,0.056787827829195864,0.05634371998564122,0.021980379946215937,0.007820475981057201
1574_2,88.6,1.9304,R,1.225,1.3806,57,0.07606523405091833,0.037277631555374335,0.051552609430428754,0.041696840141147544,2.860674918580233e-17,0.14698334357126847,0.5640917338630398,3.1259418858089396e-18,0.1719641161286285,0.45850006026618956,late_pull,0.1085064077856525,1.0,0.1085064077856525,0.056209287083325996,0.056209287083325996,0.025813612488006888,0.0
1574_3,89.5,1.9304,R,1.1306,1.2889,58,0.0795582702857872,0.04161708979223087,0.05450939597324613,0.04032693837527993,1.3753296647744944e-17,0.14665698406694777,0.5649918685471385,-9.506872336764675e-18,0.17368706876427562,0.46488631636570427,late_pull,0.10369063147794287,1.0,0.10369063147794287,0.05371458323556925,0.05371458323556925,0.022251175943717325,0.0
1581_1,82.3,1.7018,R,1.4389,1.5639,46,0.06968512639907032,0.024572980603630095,0.04288861304491673,0.049119775412672914,3.642512150517831e-18,0.1410705037851339,0.5780218576851643,4.876007527031505e-17,0.1762892380519754,0.46960633997749,late_pull,0.11846853505669551,0.8439999999999994,0.11399247222155261,0.06961366497631655,0.06698347174847374,0.01756193183137131,0.037782714481957524
1581_2,82.3,1.7018,R,1.4972,1.6167,44,0.06760350139182654,0.02177702600970656,0.04221405234290289,0.048103724631237355,2.9354957274385873e-17,0.14267842465787528,0.5769000971894069,-2.776449014104367e-17,0.17757219084993772,0.46531257455258307,late_pull,0.11933462354493014,0.8836820083682005,0.1169159960283023,0.07012258993120822,0.06870137268086866,0.018267982763139488,0.02026760922170436
1581_3,83.0,1.7018,R,1.4,1.525,46,0.07080561012473091,0.02492605022915111,0.04179421089179602,0.05143316421377662,2.5268996703787278e-17,0.14020187050290286,0.5746350476672019,-1.436255729161572e-17,0.17669108858984695,0.46718212905989337,late_pull,0.12067291615739723,0.8000000000000007,0.11347948164238957,0.07090898822270374,0.0666820317560169,0.014836226265143823,0.05961101085536917
1601_1,86.3,1.8542,R,1.7667,1.9167,55,0.06723517786149893,0.03604896273637627,0.037013644682893795,0.04302361601478005,-4.4128815374147575e-17,0.1392105094023983,0.6182414063874442,1.3641449693157746e-16,0.16813200885824986,0.4874297052881466,late_pull,0.13747070683588053,0.9073333333333332,0.1339707217091361,0.07414017195333865,0.07225257345978649,0.025323925522584473,0.02545986128465092
1601_2,86.1,1.8542,R,1.6222,1.7861,60,0.0843807135947186,0.051074971141611525,0.04774163625835807,0.047246040225738584,2.601732201072744e-18,0.13797157406616772,0.6228510494088487,-9.694573884908108e-17,0.1667981627551175,0.47992366101445477,late_pull,0.1467985982249352,0.9493593654667482,0.14580538593853049,0.07917085439808824,0.07863519897450678,0.03660658294141834,0.006765815875726935
