session_pitch,duration_s,stp_energy_j,mean_power_w,session,session_mass_kg
2753_5,0.10000000000000031,91.88766788000036,918.8766788000008,2753,84.3696
2760_1,0.044499999999999984,61.09565620000008,1372.9360943820247,2760,82.5552
2760_2,0.044399999999999995,58.06897136500003,1307.8597154279287,2760,82.5552
2760_3,0.04720000000000013,59.74369506000005,1265.756251271184,2760,82.5552
2760_4,0.044499999999999984,56.81253388000003,1276.6861546067428,2760,82.5552
2760_5,0.050000000000000044,59.06840185500003,1181.3680370999996,2760,82.5552
2761_2,0.06109999999999993,59.71337828499985,977.3057002454977,2761,88.9056
2761_3,0.05830000000000024,57.66718841500025,989.1455988850773,2761,88.9056
2761_4,0.05279999999999996,45.813812969999965,867.6858517045455,2761,88.9056
2761_5,0.05279999999999996,50.88233048999996,963.6805017045455,2761,88.9056
2806_1,0.08609999999999995,69.79161746499997,810.5878915795588,2806,82.1016
2806_2,0.07229999999999981,58.06270944499986,803.0803519363764,2806,82.1016
2806_3,0.050000000000000044,47.70986984500005,954.1973969000002,2806,82.1016
2806_4,0.06659999999999999,51.41392912499993,771.9809177927918,2806,82.1016
2806_5,0.0917,92.58587817999995,1009.6606126499449,2806,82.1016
2811_1,0.05279999999999996,27.46615784999991,520.192383522726,2811,85.2768
2811_2,0.04159999999999986,26.19409635500005,629.6657777644264,2811,85.2768
2811_3,0.03330000000000011,31.718155155000122,952.4971518018024,2811,85.2768
2811_4,0.04179999999999984,19.39747745499992,464.05448456937785,2811,85.2768
2811_5,0.03610000000000002,20.774969850000048,575.4839293628819,2811,85.2768
2812_1,0.022099999999999786,18.99185478499991,859.3599450226286,2812,76.2048
2812_2,0.016599999999999948,17.272799434999946,1040.5300864457831,2812,76.2048
2812_3,0.01949999999999985,18.30415086999991,938.6744035897461,2812,76.2048
2812_4,0.0027999999999999137,3.298773799999898,1178.1335,2812,76.2048
2812_5,0.03330000000000011,24.944155400000028,749.0737357357342,2812,76.2048
2815_1,0.07779999999999987,120.94397660999971,1554.5498278920297,2815,97.0704
2815_2,0.08319999999999994,122.86681365499987,1476.7645871995187,2815,97.0704
2815_3,0.07220000000000004,123.12763288500018,1705.3688765235472,2815,97.0704
2815_4,0.08050000000000024,123.39867335500041,1532.902774596274,2815,97.0704
2815_5,0.07219999999999982,120.08526942499972,1663.230878462604,2815,97.0704
2818_1,0.0889000000000002,125.62499621500015,1413.10456934758,2818,96.1632
2818_2,0.08879999999999999,119.01477552500005,1340.2564811373882,2818,96.1632
2818_3,0.08889999999999998,127.19591479999998,1430.7751946006751,2818,96.1632
2818_4,0.08339999999999992,110.05394498999996,1319.5916665467635,2818,96.1632
2818_5,0.08330000000000015,108.0101107100002,1296.6399845138055,2818,96.1632
2833_1,0.06120000000000014,67.68738692500027,1106.0030543300672,2833,83.916
2833_2,0.044499999999999984,54.73003952999991,1229.8885287640433,2833,83.916
2833_3,0.06120000000000014,75.61996586000018,1235.6203571895426,2833,83.916
2833_4,0.05269999999999997,73.90853108999998,1402.4389201138524,2833,83.916
2833_5,0.05269999999999997,74.57706705499982,1415.124612049333,2833,83.916
2840_1,0.06119999999999992,66.72508178499992,1090.279114133987,2840,84.8232
2840_2,0.0667000000000002,76.0358344600003,1139.9675331334342,2840,84.8232
2840_4,0.05840000000000023,64.57831670000024,1105.7930941780821,2840,84.8232
2840_5,0.058299999999999796,65.09352261999976,1116.526974614065,2840,84.8232
2843_1,0.055600000000000094,54.86791931500009,986.8330812050359,2843,83.4624
2843_2,0.04999999999999993,45.15370426499987,903.0740852999985,2843,83.4624
2843_3,0.05819999999999981,55.00831445499984,945.160042182131,2843,83.4624
2843_4,0.06390000000000007,60.39165682499999,945.096350938966,2843,83.4624
2843_5,0.06379999999999986,57.44875096999981,900.4506421630084,2843,83.4624
2853_1,0.06669999999999998,66.88751362999996,1002.8112988005994,2853,89.3592
2853_3,0.07499999999999996,84.06536606499999,1120.8715475333338,2853,89.3592
2853_4,0.0667000000000002,69.1679182650001,1037.0002738380792,2853,89.3592
2853_5,0.0638000000000003,66.96727751500019,1049.6438481974901,2853,89.3592
2857_1,0.02499999999999991,24.741954234999945,989.6781694000013,2857,69.4008
2857_2,0.03610000000000002,26.16167875999993,724.7002426592774,2857,69.4008
2857_3,0.013800000000000257,1.6880302949999988,122.32103586956286,2857,69.4008
2857_4,0.038899999999999935,26.97888247999988,693.5445367609235,2857,69.4008
2857_5,0.03330000000000011,23.522024410000036,706.3670993993982,2857,69.4008
2859_1,0.06099999999999994,103.14958026499977,1690.9767256557354,2859,93.8952
2859_2,0.05840000000000001,103.22232355499982,1767.505540325339,2859,93.8952
2859_3,0.05830000000000002,103.24538200999976,1770.9327960548837,2859,93.8952
2859_4,0.05840000000000023,96.64149550000018,1654.820128424654,2859,93.8952
2859_5,0.061100000000000154,113.89326843500038,1864.046946563013,2859,93.8952
2860_1,0.05840000000000001,65.03284877999998,1113.5761777397256,2860,78.9264
2860_2,0.06109999999999993,67.24671938000012,1100.6009718494304,2860,78.9264
2860_3,0.05840000000000001,64.84628311500006,1110.381560188357,2860,78.9264
2860_5,0.05830000000000002,62.65564357000008,1074.7108674099495,2860,78.9264
2861_1,0.05840000000000001,77.09990256,1320.2038109589041,2861,82.5552
2861_2,0.061100000000000154,80.22428065000013,1312.9996833060543,2861,82.5552
2861_3,0.04159999999999986,49.58815703499991,1192.0230056490402,2861,82.5552
2861_4,0.05279999999999996,56.11567299000013,1062.7968369318214,2861,82.5552
2861_5,0.04439999999999977,54.385764689999505,1224.9046101351303,2861,82.5552
2865_1,0.0915999999999999,112.68633158500003,1230.2001264738008,2865,87.5448
2865_2,0.11389999999999989,155.8126267449999,1367.9774077699742,2865,87.5448
2865_3,0.09170000000000011,117.92218540500006,1285.956220338058,2865,87.5448
2865_4,0.08620000000000028,109.27220826500032,1267.6590285962873,2865,87.5448
2865_5,0.11109999999999998,149.03837728499988,1341.4795435193512,2865,87.5448
2882_1,0.050000000000000044,74.18613691499999,1483.7227382999986,2882,88.9056
2882_2,0.050000000000000044,72.27278888000008,1445.4557776000004,2882,88.9056
2882_4,0.04719999999999991,72.53231255499995,1536.7015371822054,2882,88.9056
2882_5,0.050000000000000044,69.4028088700001,1388.0561774000007,2882,88.9056
2889_1,0.11390000000000011,166.489463935,1461.716101273045,2889,111.132
2889_2,0.11390000000000011,167.33225035500004,1469.1154552677776,2889,111.132
2889_3,0.14170000000000016,146.56527961500015,1034.3350713832037,2889,111.132
2889_4,0.09999999999999987,118.88599626999984,1188.8599626999999,2889,111.132
2889_5,0.13060000000000005,173.108535395,1325.4864884762628,2889,111.132
2891_1,0.03610000000000002,93.82701773500013,2599.0863638504175,2891,113.8536
2891_2,0.04160000000000008,109.61862025000006,2635.0629867788425,2891,113.8536
2891_3,0.02499999999999991,14.775105964999906,591.0042385999983,2891,113.8536
2891_4,0.019399999999999862,16.93749341999978,873.0666711340155,2891,113.8536
2891_5,0.01100000000000012,6.176998340000074,561.5453036363641,2891,113.8536
2905_1,0.0806,87.18431686499997,1081.6912762406944,2905,99.3384
2905_2,0.08890000000000009,103.5939920000001,1165.2867491563554,2905,99.3384
2905_3,0.07779999999999998,97.00784740999997,1246.8874988431876,2905,99.3384
2905_4,0.09170000000000034,112.0521858450004,1221.9431389858232,2905,99.3384
