session_pitch,pitcher,pkh_time,fp_poi_time,pkh_fp_duration,pelvis_angle_z_pkh,pelvis_angle_z_fp,zero_crossing_count,first_zero_crossing_from_fp,stable_zero_crossing_from_fp,stable_zero_crossing_phase_pct,pitch_speed_mph
2935_1,2935,0.6611,1.45,0.7888999999999999,-18.622,38.4088,1,-0.07368755035488195,-0.07368755035488195,90.65945615985778,92.1
2935_2,2935,0.5222,1.2972,0.7749999999999999,-18.8157,44.4175,1,-0.08728455981009375,-0.08728455981009375,88.73747615353629,93.1
2935_3,2935,0.5111,1.2722,0.7611,-22.2326,42.7406,1,-0.08422446483180424,-0.08422446483180424,88.9338503702793,92.8
2935_4,2935,0.6028,1.4194,0.8166,-25.3864,32.6712,1,-0.06895164793293951,-0.06895164793293951,91.55625178386731,92.6
2935_5,2935,0.7111,1.4694,0.7583000000000001,-24.4814,40.7444,1,-0.07432288544131826,-0.07432288544131826,90.19874911758957,92.1
2965_1,2965,0.825,1.4444,0.6194,-23.1232,39.9927,1,-0.09121250379362666,-0.09121250379362666,85.27405492514907,85.7
2965_2,2965,1.0167,1.6361,0.6194000000000002,-14.4855,38.416,1,-0.08303090063916341,-0.08303090063916341,86.59494661944407,86.6
2965_3,2965,1.0028,1.5806,0.5778000000000001,-23.8173,31.2006,1,-0.059869655850540715,-0.059869655850540715,89.63834270499468,86.4
2965_4,2965,0.7806,1.3694,0.5888,-27.8258,30.103,1,-0.07029974293059116,-0.07029974293059116,88.06050561640775,85.4
2965_5,2965,0.5583,1.2028,0.6445000000000001,-27.0446,34.7024,1,-0.0753247803163446,-0.0753247803163446,88.31267954750278,86.7
2969_1,2969,0.8806,1.7306,0.8499999999999999,-50.308,43.2026,1,-0.1373926889207453,-0.1373926889207453,83.8361542446182,90.4
2969_2,2969,0.6917,1.4694,0.7777000000000001,-52.5525,42.3156,1,-0.14168540591271706,-0.14168540591271706,81.78148310238947,89.8
2969_3,2969,0.6583,1.3833,0.725,-42.4098,43.1948,1,-0.14382506164537112,-0.14382506164537112,80.16206046270743,88.6
2979_1,2979,0.8389,1.4889,0.6499999999999999,-33.8176,42.7333,1,-0.2770033229491171,-0.2770033229491171,57.38410416167429,85.2
2979_2,2979,0.8528,1.475,0.6222000000000001,-33.9865,42.1197,1,-0.2787224456958972,-0.2787224456958972,55.20372136035082,84.9
2979_3,2979,0.9111,1.5389,0.6277999999999999,-36.4314,42.984,1,-0.28866844194508756,-0.28866844194508756,54.01904397179236,82.6
2979_4,2979,0.6583,1.2389,0.5805999999999999,-28.9419,34.6546,1,-0.28331459419210714,-0.28331459419210714,51.203135688579536,83.3
2979_5,2979,0.6583,1.2667,0.6083999999999999,-28.5304,40.8197,1,-0.3001438285291943,-0.3001438285291943,50.66669485055978,83.6
2981_1,2981,0.9694,1.7278,0.7584,-52.6591,46.8426,1,-0.10111435691840942,-0.10111435691840942,86.66741074388061,82.5
2981_2,2981,0.575,1.2833,0.7083000000000002,-48.8709,49.8751,1,-0.1093839610875531,-0.1093839610875531,84.55683169736649,82.5
2981_3,2981,0.6472,1.3528,0.7056,-43.6336,55.7667,1,-0.11554456119403,-0.11554456119403,83.62463701898668,82.5
2981_4,2981,0.5444,1.2083,0.6638999999999999,-44.9904,50.8674,1,-0.12041510447761183,-0.12041510447761183,81.86246355209944,83.8
