session_pitch,marker_used,pitch_speed_mph,session_height_m,fp_poi_time,br_time_c3d_end,n_frames,sjm,sjm_x,sjm_y,sjm_z
2655_2,RSHO,85.8,1.8034,1.0111,1.1333,44,0.06208017406553916,0.02987221815616768,0.03786029118229424,0.03909215964908897
2655_3,RSHO,85.1,1.8034,1.2056,1.3306,45,0.061144564180525426,0.030146642837754995,0.03763693838876127,0.037593862839030226
2655_4,RSHO,84.8,1.8034,1.0556,1.1917,49,0.0773329619889051,0.03995541741964307,0.048771066348603655,0.044780963768320366
2655_5,RSHO,84.9,1.8034,1.075,1.1944,43,0.0624270218614499,0.02942413008401272,0.03490975143220603,0.042575378826625015
2730_1,LSHO,81.8,1.8796,1.0333,1.1639,48,0.0739082427035026,0.039244229476061446,0.04660505949698235,0.04183643414098303
2730_2,LSHO,82.6,1.8796,1.1167,1.2694,54,0.09456261936973157,0.05814896244208001,0.06061373821816973,0.04343687244949256
2730_3,LSHO,82.8,1.8796,1.1167,1.2472,46,0.07107716796003798,0.03568485702527749,0.04873942415943266,0.037456952851398134
2730_5,LSHO,81.6,1.8796,1.0778,1.2139,49,0.0760315738007718,0.04202698251622649,0.04962585434128224,0.03939298841292496
2734_1,LSHO,87.9,1.8288,1.3806,1.5389,57,0.10304673575136968,0.05103440641936114,0.07770424725931077,0.0444541231867189
2734_2,LSHO,88.1,1.8288,1.3639,1.5306,60,0.11210071272541382,0.0575571812328096,0.08266019868145982,0.04920398597695974
2734_3,LSHO,87.8,1.8288,1.1806,1.3444,58,0.11817465980585026,0.06234069209206113,0.08427065493713942,0.054565053341647594
2734_4,LSHO,88.4,1.8288,1.4556,1.6111,55,0.09357997000296248,0.04400684604118228,0.07118572426630632,0.04187124249343988
2734_5,LSHO,86.8,1.8288,1.3528,1.5194,59,0.10623312175014919,0.05328102590263827,0.08040281824257955,0.04451960527896816
2742_1,LSHO,87.7,1.905,1.225,1.3639,51,0.08101814567228145,0.03432091525957788,0.06468051043633219,0.03467630709310632
2742_2,LSHO,87.6,1.905,1.1361,1.2583,44,0.06325610102360626,0.02436990716449105,0.04802202360506846,0.03318625001980516
2742_3,LSHO,87.4,1.905,1.1833,1.3083,45,0.06539248050536305,0.026021973084991063,0.04884686187949643,0.03482840088108677
2742_4,LSHO,87.8,1.905,1.0722,1.2139,52,0.08380583401827213,0.038112489965901164,0.06524926809652873,0.036240708284532436
2742_5,LSHO,87.1,1.905,1.0722,1.1778,39,0.04583165985741762,0.00982326253676893,0.03716243437240671,0.024959928484198472
2753_1,RSHO,79.4,1.8542,1.5528,1.7,53,0.07030476017490848,0.04171041950465947,0.035519654174521735,0.04406080316243796
2753_2,RSHO,79.9,1.8542,1.3139,1.4639,54,0.07272170469798558,0.04276510127216153,0.034070536693078864,0.04794570863808726
2753_3,RSHO,78.8,1.8542,1.5944,1.7472,55,0.0809608926660394,0.04622233055444419,0.0379126272739902,0.05459665733889889
2753_4,RSHO,80.0,1.8542,1.4444,1.5917,54,0.0775260964609105,0.04495602006587196,0.036190115877719885,0.05176415173709045
2753_5,RSHO,79.8,1.8542,1.3917,1.5389,53,0.07163191096894578,0.041642118484508175,0.03204017224091443,0.048687698651278366
2760_1,LSHO,84.2,1.8542,1.2417,1.375,48,0.06706014601648351,0.019555785985636058,0.04938430905477142,0.04093683472642839
2760_2,LSHO,84.4,1.8542,0.9778,1.1139,49,0.07196556856907078,0.022154635848836247,0.051180165757833816,0.04548412693320324
2760_3,LSHO,83.5,1.8542,1.1722,1.3,47,0.06556496603590829,0.01762581300237343,0.0481423649667394,0.040870627383298566
2760_4,LSHO,83.8,1.8542,1.0667,1.1944,45,0.06418351214116567,0.017242154089851656,0.04628344164440941,0.040988710429403864
2760_5,LSHO,84.3,1.8542,1.0639,1.1972,47,0.07088585532079154,0.0237990888676578,0.051907934733131156,0.041999692443760984
2761_2,LSHO,79.2,1.8542,1.3,1.4194,43,0.0529908879527766,0.017008509932348342,0.03393679513666752,0.03697348687582484
2761_3,LSHO,79.7,1.8542,1.3528,1.4861,47,0.06616399045229561,0.02296245252281763,0.04594641070815324,0.041705236478726676
2761_4,LSHO,79.7,1.8542,1.5333,1.6611,46,0.059345815103836075,0.02135710607973583,0.041013046324238425,0.03719851907594552
2761_5,LSHO,79.4,1.8542,1.3972,1.5167,44,0.054511274638723156,0.014161707136521153,0.03548804798623601,0.0388783173998608
2806_1,RSHO,79.8,1.778,0.9583,1.0889,48,0.06784912026285835,0.02001302335374024,0.050977312948277675,0.04005365877494619
2806_2,RSHO,79.1,1.778,0.9861,1.1056,44,0.06373528069615006,0.015121101617811475,0.04736565612384645,0.03987521675475112
2806_3,RSHO,79.4,1.778,0.9528,1.0861,47,0.07564046797505541,0.021860510926003354,0.0573830885246375,0.04416763078220392
2806_4,RSHO,79.1,1.778,0.8917,1.0194,45,0.07048399568916518,0.01742961347149539,0.05283553853053054,0.043273641986009755
2806_5,RSHO,79.3,1.778,0.8889,1.0139,45,0.0693219529103826,0.0179557203624413,0.0516038872912252,0.0426633809959975
2811_1,RSHO,75.8,1.9304,1.6861,1.8972,76,0.10463125682949521,0.06633110819807587,0.0747891751657253,0.030894388956012726
2811_2,RSHO,76.4,1.9304,1.4833,1.6944,76,0.10940764173921583,0.0670524273199755,0.07835125219217466,0.03653881964916558
2811_3,RSHO,74.9,1.9304,1.4944,1.7028,76,0.11073365700992863,0.06751939839931821,0.07871757961899871,0.038815155461665474
2811_4,RSHO,75.1,1.9304,1.5944,1.8,75,0.10971709848046818,0.06730722506133778,0.07701366565860164,0.0397048417115633
2811_5,RSHO,74.9,1.9304,1.4028,1.6111,74,0.10641150870423344,0.06282405084014518,0.07708760873699232,0.03786883151033826
2812_1,LSHO,80.5,1.905,1.3278,1.4806,55,0.07837154680844775,0.046900522201519954,0.04135723583804168,0.047244252668552714
2812_2,LSHO,79.8,1.905,1.1056,1.2556,54,0.07673160633916173,0.04454492252449803,0.041255138559980295,0.046920175096341894
2812_3,LSHO,81.0,1.905,1.2139,1.3639,54,0.07334748254215716,0.043632702520086324,0.037207773623073315,0.045734254646597555
2812_4,LSHO,79.9,1.905,1.2444,1.3972,55,0.08143779766775945,0.049494944695283434,0.04197605874350743,0.04919731528190717
2812_5,LSHO,79.3,1.905,1.0972,1.2556,58,0.08762228386422265,0.05261318706934685,0.04325642457026846,0.055121673680912496
2815_1,LSHO,91.1,1.905,1.6194,1.7639,53,0.07713915272573246,0.03376407841624178,0.04701951962615665,0.05098627919422266
2815_2,LSHO,90.7,1.905,1.4889,1.6528,59,0.09686203369576947,0.053304766648261025,0.058641745287932874,0.05569561144147734
