session,session_mass_kg,pitch_n,fp_mer_duration_s,fp_mer_positive_mean_power_w,rotation_hip_shoulder_separation_fp,max_rotation_hip_shoulder_separation,max_torso_rotational_velo,duration_z,power_z,joint_high_score,mass_z,torso_velo_z,rotation_hip_shoulder_separation_fp_z,max_rotation_hip_shoulder_separation_z,above_both_means
2891,113.8536,5,0.11613999999999991,3986.991684088338,38.79596,41.52876,1151.4446599999999,0.4747073685078749,1.7151054696597068,0.4747073685078749,2.28729922018805,1.1586603111159344,1.3569310659319187,1.4407257330941148,True
2905,99.3384,5,0.09835999999999996,3795.0504906552205,31.112599999999997,37.18976,992.7429599999999,-0.5778343569933404,1.3839837819562317,-0.5778343569933404,0.851004576427892,-0.708283671221762,0.20415901290737434,0.7731027213546854,False
2907,82.5552,5,0.1022199999999999,2558.9825650047014,28.29706,28.380239999999997,1121.75584,-0.34932979791377733,-0.7483823367328847,-0.7483823367328847,-0.8097111054197893,0.8094053009824148,-0.21827021417201833,-0.5823797110902884,False
2916,86.6376,5,0.10835999999999997,3138.355407889236,36.3261,37.09078,1260.1317800000002,0.014146366010719929,0.25110563202529557,0.014146366010719929,-0.40575323686224435,2.437239964904241,0.9863658987546415,0.7578731003125174,True
2918,100.2456,5,0.10776,3605.9656557799913,30.06966,30.566899999999997,1012.75174,-0.021372477369522216,1.0577896569580691,-0.021372477369522216,0.9407729916629021,-0.47290325995383553,0.04768162736492736,-0.245927870839046,False
2919,84.8232,5,0.11833999999999993,2423.9740882375395,27.557139999999997,28.942619999999998,971.40366,0.6049431275687693,-0.9812882277603645,-0.9812882277603645,-0.5852900673322646,-0.9593161284815063,-0.3292840281120032,-0.4958487524956765,False
2923,73.4832,5,0.09885999999999995,2122.0594314688105,21.2151,21.70534,1084.4181199999998,-0.5482353208431382,-1.5021273915874458,-1.5021273915874458,-1.7073952577698879,0.37016973092733496,-1.2808112858695175,-1.6094174711869735,False
2926,80.7408,4,0.109025,2649.7530366050023,30.5905,31.462025000000004,1113.189525,0.05351308409049149,-0.5917923353249527,-0.5917923353249527,-0.9892479358898095,0.7086324028971441,0.12582579815704215,-0.108198889879548,False
2927,79.8336,5,0.10165999999999986,2943.5343039859345,23.40902,25.539839999999998,1197.88098,-0.3824807184020066,-0.08498424827022273,-0.3824807184020066,-1.0790163511248183,1.70493050346994,-0.9516467455418991,-1.0194196748018982,False
2935,90.72,5,0.08391999999999994,3693.9754486503807,32.03066,33.33212,1003.13856,-1.4326545210112043,1.2096171548934262,-1.4326545210112043,-0.0017953683047008497,-0.5859913273918604,0.34190004170203103,0.17954447406118673,False
2965,87.0912,5,0.10000000000000002,3099.744499907979,32.072500000000005,33.63798,1046.6631,-0.4807495184206712,0.18449716311957093,-0.4807495184206712,-0.36086902924474,-0.07397489633273269,0.3481775013939569,0.22660581869603785,False
2969,104.7816,3,0.12040000000000001,3107.884421915341,30.20586666666667,30.54393333333333,981.6663666666667,0.7268911565076102,0.19853950944785725,0.19853950944785725,1.3896150678379513,-0.8385871227189312,0.06811737927151078,-0.2494616517032116,True
2979,101.6064,5,0.12109999999999999,3143.410875719979,39.1471,39.33672,989.8803599999999,0.7683298071178931,0.25982692322029594,0.25982692322029594,1.0754256145154166,-0.7419588860672234,1.4096143163196448,1.103446095699946,True
2981,85.7304,4,0.103475,2935.7663988761446,32.172625,34.63695,1034.449475,-0.2750362171767617,-0.09838482062193271,-0.2750362171767617,-0.4955216520972545,-0.2176542248861094,0.36319974450232,0.3803129770360558,False
2989,83.916,5,0.10443999999999994,2713.460978714299,23.54512,23.93002,996.927,-0.21791007740687357,-0.48188845834037897,-0.48188845834037897,-0.6750584825672747,-0.6590632261990533,-0.9312269973566469,-1.2671156593048638,False
2990,83.0088,4,0.11457499999999998,2565.788389254813,28.65365,31.572074999999998,1031.429625,0.38206238535774384,-0.7366414697954524,-0.7366414697954524,-0.764826897802285,-0.2531793061238171,-0.1647692736475573,-0.09126597620314325,False
2993,97.0704,4,0.11247499999999992,3637.2197107546604,34.458825,36.83355,984.060975,0.2577464335268877,1.1117066679221368,0.2577464335268877,0.6265835383403687,-0.8104172945572148,0.7062095042460667,0.7182942417483935,True
2996,103.8744,4,0.09792499999999987,3777.499528673772,40.508575,43.7227,1035.8687,-0.6035855184440223,1.3537062576365668,-0.6035855184440223,1.2998466526029413,-0.2009586660273612,1.6138830647437183,1.778297715204188,False
2999,96.1632,5,0.1361,2823.5601248895587,34.080920000000006,34.288,1017.23858,1.6563008916239836,-0.2919541641735206,-0.2919541641735206,0.5368151231053586,-0.42012071926453026,0.6495105700950923,0.3266215619757941,False
3034,93.8952,5,0.12777999999999992,2128.748123632462,31.751260000000002,32.03996,939.77998,1.1637729300846014,-1.4905885916136454,-1.4905885916136454,0.31239408501783394,-1.3313325534811933,0.29998029414171207,-0.019274551255527503,False
3035,92.5344,5,0.10447999999999995,3722.981567947498,32.280919999999995,40.557280000000006,1069.3253200000001,-0.21554215451485662,1.2596562059360916,-0.21554215451485662,0.17774146216531944,0.19262020161148152,0.37944777264134916,1.2912483411963005,False
3036,90.72,4,0.1062,2842.420237971106,35.204425,35.92575,1016.1865,-0.11372147015815508,-0.25941819645267583,-0.25941819645267583,-0.0017953683047008497,-0.4324972371275256,0.8180755163469058,0.5786150138025408,False
3037,94.3488,5,0.09775999999999993,3639.712091642797,20.99252,24.81636,990.89254,-0.6133532003735859,1.1160063252875958,-0.6133532003735859,0.3572782926353383,-0.7300517460678226,-1.3142060511235474,-1.1307383879923203,False
3043,107.0496,5,0.11889999999999998,3219.853477957896,24.95548,25.36798,964.97848,0.6380940480569994,0.39169962346108367,0.39169962346108367,1.614036105925476,-1.0349010222566608,-0.719623793458392,-1.0458630236835618,True
3044,114.7608,5,0.12668000000000001,3569.0734095105545,31.5776,34.17274,1067.47052,1.0986550505541601,0.9941460866050235,0.9941460866050235,2.37706763542306,0.17080060107512882,0.27392523558292475,0.30888700831525345,True
3046,78.9264,4,0.11944999999999997,2384.9153328196926,28.317700000000002,28.890775,1110.780025,0.6706529878222225,-1.0486692874600967,-1.0486692874600967,-1.1687847663598285,0.680287391309728,-0.2151734940945482,-0.5038259165988405,False
3053,93.8952,5,0.11107999999999989,2652.4447696099733,32.22912,38.18266,1160.52032,0.17516512266781928,-0.5871487715359024,-0.5871487715359024,0.31239408501783394,1.2654250705529368,0.3716759654701814,0.9258759152602117,False
3055,93.4416,5,0.1055399999999999,2343.320913508262,28.50544,31.163580000000003,911.8066999999999,-0.15279219787642923,-1.1204246729253124,-1.1204246729253124,0.26750987740032817,-1.6604061976970257,-0.18700594432012327,-0.15411932079417687,False
3065,82.5552,5,0.09387999999999996,3030.2429526362803,26.742520000000003,32.3531,1150.26568,-0.8430417208991592,0.06459861909688389,-0.8430417208991592,-0.8097111054197893,1.1447909598972876,-0.45150544814631727,0.02890693523815377,False
3132,97.9776,5,0.10111999999999996,3758.7221796820622,24.6087,28.263060000000003,1109.0002399999998,-0.41444767744422,1.3213130679438152,-0.41444767744422,0.7163519535753774,0.6593502564485059,-0.7716528917367304,-0.6004096867795308,False
3140,83.916,5,0.09333999999999995,3323.369851524282,24.60292,29.493240000000004,1166.91718,-0.8750086799413791,0.5702778416495045,-0.8750086799413791,-0.6750584825672747,1.3406768119196417,-0.7725200933863315,-0.4111272538268661,False
3172,73.4832,5,0.10163999999999995,2109.749735712795,29.6832,35.50834,1042.50808,-0.38366467984800934,-1.5233631000924492,-1.5233631000924492,-1.7073952577698879,-0.12285395424762982,-0.010300855248390861,0.5143899570313589,False
3222,87.5448,5,0.09609999999999992,2798.7901548533964,18.227899999999998,20.149160000000002,1060.59152,-0.7116220003922603,-0.3346853472824582,-0.7116220003922603,-0.3159848216272356,0.08987703406544167,-1.728995501732749,-1.8488601027630658,False
3228,93.8952,5,0.12607999999999991,3177.9956697307807,39.97312,40.7538,1220.51836,1.0631362071739108,0.31948986037778626,0.31948986037778626,0.31239408501783394,1.9712333872253878,1.533546134071167,1.3214860167591094,True
3232,85.2768,5,0.08889999999999995,3486.235650383917,27.563119999999998,32.67526,1129.72432,-1.1378481209551816,0.8512409701108715,-1.1378481209551816,-0.5404058597147603,0.9031453540781176,-0.3283868194849067,0.07847628980417753,False
3233,80.7408,5,0.11667999999999998,2540.59380006362,34.95026,37.27022,1166.8303,0.5066743275500982,-0.7801051721136859,-0.7801051721136859,-0.9892479358898095,1.3396547680903368,0.7799418991720001,0.7854827507449956,False
3247,87.9984,5,0.10945999999999992,2946.090290454491,29.481659999999998,30.738580000000002,1204.10808,0.07926424554116344,-0.08057486361402809,-0.08057486361402809,-0.27110061400972985,1.778185212602956,-0.040538886469961656,-0.21951221777257238,False
3248,81.1944,5,0.10165999999999993,3475.174688858763,32.232079999999996,33.3649,1111.33618,-0.3824807184020025,0.8321594786273442,-0.3824807184020025,-0.9443637282723037,0.6868299187716077,0.3721200687371045,0.18458818973871968,False
3250,83.4624,4,0.1257,2904.5836433493323,32.201100000000004,34.730450000000005,1046.449,1.0406409396997618,-0.15217883144682035,-0.15217883144682035,-0.7199426901847792,-0.07649353795168412,0.36747198792315183,0.3946994143713037,False
3252,88.452,5,0.12276000000000001,2848.133814501194,41.67488,43.023360000000004,1122.29908,0.8665986071365683,-0.24956158844880302,-0.24956158844880302,-0.22621640639222548,0.8157958982410773,1.788869504179433,1.6706933185621384,False
