player_id,player_name,statsapi_name,position,height_raw,height_in,ff_pitch_count,fastball_velocity_mph,extension_ft
669060,"Wilson, Bryse",Bryse Wilson,Pitcher,"6' 2""",74.0,151,92.6,6.47
605488,"Springs, Jeffrey",Jeffrey Springs,Pitcher,"6' 3""",75.0,1211,90.7,6.47
670950,"Richards, Trevor",Trevor Richards,Pitcher,"6' 2""",74.0,68,91.4,6.47
669373,"Skubal, Tarik",Tarik Skubal,Pitcher,"6' 3""",75.0,835,97.6,6.47
800048,"Messick, Parker",Parker Messick,Pitcher,"6' 0""",72.0,225,92.8,6.46
691587,"Pérez, Eury",Eury Pérez,Pitcher,"6' 8""",80.0,859,97.9,6.46
605540,"Woodruff, Brandon",Brandon Woodruff,Pitcher,"6' 4""",76.0,296,93.1,6.46
656686,"Martin, Corbin",Corbin Martin,Pitcher,"6' 2""",74.0,147,95.9,6.45
696270,"Johnson, Ryan",Ryan Johnson,Pitcher,"6' 6""",78.0,2,94.5,6.45
606996,"Hart, Kyle",Kyle Hart,Pitcher,"6' 5""",77.0,111,91.5,6.45
682120,"Herrin, Tim",Tim Herrin,Pitcher,"6' 6""",78.0,195,94.7,6.45
687473,"Gusto, Ryan",Ryan Gusto,Pitcher,"6' 4""",76.0,769,94.1,6.45
686701,"Bergert, Ryan",Ryan Bergert,Pitcher,"6' 1""",73.0,558,93.4,6.45
621112,"Blackburn, Paul",Paul Blackburn,Pitcher,"6' 1""",73.0,26,92.5,6.45
592155,"Booser, Cam",Cam Booser,Pitcher,"6' 3""",75.0,262,95.5,6.44
686799,"Kochanowicz, Jack",Jack Kochanowicz,Pitcher,"6' 7""",79.0,347,95.5,6.44
656986,"Sousa, Bennett",Bennett Sousa,Pitcher,"6' 3""",75.0,295,95.1,6.44
656848,"Petersen, Michael",Michael Petersen,Pitcher,"6' 7""",79.0,183,97.5,6.44
605347,"López, Jorge",Jorge López,Pitcher,"6' 3""",75.0,97,94.7,6.44
684320,"Rodríguez, Yariel",Yariel Rodríguez,Pitcher,"6' 0""",72.0,473,95.7,6.44
690928,"Dobbins, Hunter",Hunter Dobbins,Pitcher,"6' 2""",74.0,377,95.5,6.44
673380,"Núñez, Dedniel",Dedniel Núñez,Pitcher,"6' 2""",74.0,96,96.2,6.43
