session_pitch,fp_mer_duration_s,fp_mer_positive_energy_j,fp_mer_net_energy_j,fp_mer_positive_mean_power_w,fp_mer_negative_energy_j,fp_br_duration_s,fp_br_positive_energy_j,fp_br_net_energy_j,fp_br_positive_mean_power_w,fp_br_negative_energy_j,mer_share_of_fp_br,official_fp_br_j,session,session_mass_kg
1394_1,0.10829999999999995,353.4857215499998,353.4857215499998,3263.9494141274236,0.0,0.13890000000000002,373.05868779499997,364.1414055249999,2685.8076875089987,8.917282270000044,0.947533814690959,373.0587,1394,94.3488
1394_2,0.11109999999999998,343.53616426999986,343.53616426999986,3092.1346918991894,0.0,0.14170000000000005,362.26234197499997,357.02727981,2556.544403493295,5.235062164999988,0.9483076888342636,362.2623,1394,94.3488
1394_3,0.11670000000000003,354.35914275000005,354.35914275000005,3036.496510282776,0.0,0.1472,361.798770915,341.898096195,2457.8720850203804,19.900674719999984,0.9794371104517993,361.7988,1394,94.3488
1403_1,0.10829999999999995,222.72144060499994,222.72144060499994,2056.5229972760853,0.0,0.1472,249.70135655499996,232.20450637999988,1696.3407374660324,17.496850175000077,0.8919512640130277,249.7014,1403,70.308
1403_2,0.10829999999999995,219.96802558499996,219.96802558499996,2031.0990358725767,0.0,0.1471999999999999,240.63301227,218.44666543000005,1634.7351377038055,22.186346839999942,0.914122395385164,240.633,1403,70.308
1403_3,0.1028,225.12208137000016,225.12208137000016,2189.903515272375,0.0,0.14169999999999994,246.478540775,226.69298231500005,1739.4392432956959,19.785558459999947,0.9133536763977548,246.4785,1403,70.308
1561_1,0.11389999999999989,412.6148631449998,412.6148631449998,3622.606348946446,0.0,0.14440000000000008,420.8784916399999,388.39461499499976,2914.6709947368395,32.48387664500012,0.9803657619499634,420.8785,1561,118.3896
1561_2,0.12770000000000015,427.7003382650002,427.7003382650002,3349.2587178151894,0.0,0.1583000000000001,444.5309474949999,418.4662547849999,2808.1550694567254,26.06469271000003,0.9621384982871434,444.5309,1561,118.3896
1561_3,0.11939999999999995,440.34931869499997,440.34931869499997,3688.017744514239,0.0,0.1499999999999999,450.1479837549999,415.8563733300001,3000.986558366668,34.29161042499982,0.9782323471089165,450.148,1561,118.3896
1562_1,0.06659999999999999,300.78651233999994,300.78651233999994,4516.3139990990985,0.0,0.1028,328.37234231499986,318.0816299699999,3194.2834855544734,10.290712344999974,0.9159922246175731,328.3695,1562,95.7096
1562_2,0.07220000000000004,305.5551482950002,305.5551482950002,4232.065765858726,0.0,0.11109999999999998,348.67045461,344.27916646,3138.3479262826286,4.39128814999998,0.8763436771170481,348.0976,1562,95.7096
1562_3,0.07499999999999996,315.4519305499999,315.4519305499999,4206.025740666668,0.0,0.11119999999999997,347.8876149449999,338.23550671499993,3128.485745908273,9.652108229999953,0.9067639001746929,347.7448,1562,95.7096
1574_1,0.125,270.70211162499993,270.70211162499993,2165.6168929999994,0.0,0.1583000000000001,277.8616141400001,277.7720626200001,1755.284991408717,0.08955151999998634,0.9742335675362742,277.8616,1574,87.0912
1574_2,0.12219999999999986,309.50932512499986,309.50932512499986,2532.8095345744696,0.0,0.15559999999999996,322.53281548999996,320.06254748999993,2072.8330044344475,2.4702680000000328,0.9596211928227691,322.5328,1574,87.0912
1574_3,0.125,322.64282578,322.64282578,2581.14260624,0.0,0.15829999999999989,331.30628906499993,326.935429265,2092.901383859761,4.370859799999948,0.9738505921229277,331.3063,1574,87.0912
1581_1,0.09440000000000004,305.30281267000026,305.30281267000026,3234.1399647245776,0.0,0.125,327.97225632499993,320.41202164999993,2623.7780505999995,7.560234675000004,0.9308799960429102,327.9723,1581,94.8024
1581_2,0.08609999999999984,292.2225198049997,292.2225198049997,3393.989777061559,0.0,0.11949999999999994,322.19632238999986,316.3458730899998,2696.2035346443517,5.850449300000037,0.9069703764380072,322.1963,1581,94.8024
1581_3,0.09170000000000011,300.1487652200001,300.1487652200001,3273.1599260632465,0.0,0.125,326.18715821000006,315.7193509650002,2609.4972656800005,10.467807244999847,0.9201734576772137,326.1872,1581,94.8024
1601_1,0.11940000000000017,373.7468967900004,373.2456868800004,3130.2085158291443,0.50120991,0.15000000000000013,410.59293921500006,407.3148612250001,2737.286261433331,3.2780779899999857,0.9102613832194862,410.5929,1601,103.8744
1601_2,0.13339999999999996,371.5677019300002,368.0747547400002,2785.3650819340355,3.492947190000052,0.16389999999999993,419.064565615,414.4506545000001,2556.8307847162914,4.613911114999894,0.8866597952148602,419.0646,1601,103.8744
1601_3,0.11390000000000011,371.70265867500024,371.70164131500024,3263.412279850745,0.0010173599999916405,0.1472,435.8057236750001,435.7872690350001,2960.636709748642,0.018454639999959,0.8529090796251121,435.4523,1601,103.8744
1603_1,0.04720000000000013,165.65065289000043,165.65065289000043,3509.547730720338,0.0,0.0777000000000001,187.99391803000026,173.64431956000016,2419.4841445302445,14.349598470000103,0.8811490000626815,187.9939,1603,91.1736
1603_2,0.04730000000000012,166.7603185850004,166.7603185850004,3525.588130761099,0.0,0.0806,191.6499742800002,176.70913301500025,2377.7912441687367,14.94084126499996,0.8701296163043775,191.65,1603,91.1736
1603_3,0.04169999999999985,154.92714640999955,154.92714640999955,3715.2792904076764,0.0,0.07220000000000004,170.60885011499983,153.4550282449997,2363.003464196672,17.153821870000115,0.9080838790342357,170.6088,1603,91.1736
1612_1,0.09719999999999995,344.9974417599999,344.9974417599999,3549.35639670782,0.0,0.12769999999999992,359.8058661199999,333.14105306,2817.58704870791,26.664813059999915,0.9588432936914342,359.8059,1612,91.1736
1612_2,0.09450000000000003,338.81575312000024,338.81575312000024,3585.3518848677263,0.0,0.125,350.77535918,328.7597690699999,2806.20287344,22.01559011000012,0.9659052275280753,350.7754,1612,91.1736
1612_3,0.09730000000000005,340.4051462050002,340.4051462050002,3498.511266238438,0.0,0.12780000000000002,362.19438631,342.64274022499995,2834.071880359937,19.551646085000073,0.9398410330789873,362.1944,1612,91.1736
