session,session_mass_kg,pitch_n,fp_br_duration_s,stp_j,jfp_j,reconstructed_total_j,official_total_j,duration_sum_s,stp_sum_j,jfp_sum_j,reconstructed_total_sum_j,stp_mean_power_w,jfp_mean_power_w,total_mean_power_w
1601,103.8744,3,0.15370000000000003,164.4776553116667,254.70660627499998,419.1842615866667,421.70326666666665,0.46110000000000007,493.4329659350001,764.1198188249999,1257.5527847600001,1070.1213748319237,1657.1672496746905,2727.2886245066143
1603,91.1736,3,0.07683333333333338,88.06782919166669,79.86833108166667,167.93616027333337,183.41756666666666,0.23050000000000015,264.20348757500005,239.604993245,503.8084808200001,1146.2190350325375,1039.501055292841,2185.720090325379
1612,91.1736,3,0.12683333333333333,168.78501669000002,166.0628374283333,334.8478541183333,357.59189999999995,0.38049999999999995,506.35505007000006,498.1885122849999,1004.543562355,1330.7622866491463,1309.299638068331,2640.0619247174773
1615,87.5448,2,0.11665000000000014,131.8229868475001,122.66038185499997,254.48336870250006,285.38419999999996,0.23330000000000028,263.6459736950002,245.32076370999994,508.9667374050001,1130.0727548006853,1051.5249194599212,2181.5976742606067
1620,92.0808,2,0.13890000000000002,134.49636877749998,178.24629761999995,312.7426663974999,346.8288,0.27780000000000005,268.99273755499996,356.4925952399999,625.4853327949997,968.2963914866808,1283.2706812095028,2251.567072696183
1623,81.648,3,0.14350000000000004,170.46958134,174.79467416666662,345.26425550666664,357.92516666666666,0.4305000000000001,511.40874402,524.3840224999999,1035.79276652,1187.9413333797906,1218.081353077816,2406.0226864576066
1665,106.596,3,0.13610000000000003,165.54160700333333,237.43281551166652,402.97442251499984,441.9048666666667,0.4083000000000001,496.62482101,712.2984465349996,1208.9232675449996,1216.323343154543,1744.5467708425163,2960.870113997059
1668,81.648,3,0.12869999999999995,120.54910166999997,146.93694516499997,267.48604683499997,291.15453333333335,0.3860999999999999,361.6473050099999,440.8108354949999,802.4581405049998,936.6674566433567,1141.7012056332555,2078.3686622766127
1688,106.596,2,0.13475000000000015,184.4033092575001,224.9458304475,409.3491397050001,445.07349999999997,0.2695000000000003,368.8066185150002,449.891660895,818.6982794100002,1368.4846698144704,1669.3568122263432,3037.841482040814
1717,103.4208,2,0.12780000000000002,108.05058538750004,113.905233635,221.9558190225,228.55984999999998,0.25560000000000005,216.10117077500007,227.81046727,443.911638045,845.4662393388107,891.2772584898277,1736.7434978286383
1718,97.524,3,0.12683333333333335,141.82170631,237.72924917166668,379.55095548166673,382.2914,0.38050000000000006,425.46511893,713.1877475150001,1138.6528664450002,1118.1737685413927,1874.3436202759526,2992.517388817346
1729,105.6888,3,0.14533333333333331,224.67002558,166.11378783,390.78381341,424.301,0.43599999999999994,674.0100767399999,498.34136349000005,1172.35144023,1545.8946714220183,1142.9847786467892,2688.8794500688077
1759,79.38,3,0.12776666666666667,149.41106041499998,176.47251282166664,325.8835732366667,339.7898333333333,0.3833,448.23318124499997,529.4175384649999,977.65071971,1169.405638520741,1381.2093359379076,2550.6149744586487
1778,88.452,2,0.14305,176.7510319625,179.28369880499997,356.03473076750004,368.5674,0.2861,353.502063925,358.56739760999994,712.0694615350001,1235.5891783467318,1253.293944809507,2488.883123156239
1779,103.4208,3,0.15093333333333345,221.05472834999998,180.30844622333325,401.36317457333325,423.5771333333334,0.4528000000000003,663.1641850499999,540.9253386699997,1204.0895237199998,1464.5852143330376,1194.6230977694333,2659.208312102471
1782,97.524,4,0.13195,129.15532416874998,86.76099152249995,215.91631569124993,266.31600000000003,0.5278,516.6212966749999,347.0439660899998,863.6652627649997,978.8201907446,657.5293029367181,1636.349493681318
1783,90.2664,4,0.17915,175.5444042425,198.00210831875,373.54651256125,373.832175,0.7166,702.17761697,792.008433275,1494.186050245,979.8738724113871,1105.2308586031259,2085.1047310145127
1808,98.4312,5,0.11393999999999997,127.48850489099998,126.58750776799998,254.07601265899993,277.68600000000004,0.5696999999999999,637.4425244549999,632.9375388399999,1270.3800632949997,1118.9091178778306,1111.001472424083,2229.910590301913
1826,91.1736,5,0.14331999999999998,163.896290109,206.32848460000005,370.22477470900003,383.73789999999997,0.7165999999999999,819.481450545,1031.6424230000002,1851.1238735450002,1143.568867631873,1439.6349748813848,2583.2038425132578
1830,84.3696,5,0.14778000000000002,146.60744049500002,98.64320186700003,245.25064236200006,290.34196000000003,0.7389000000000001,733.0372024750001,493.21600933500014,1226.2532118100003,992.065506123968,667.5003509744215,1659.5658570983896
1845,92.5344,3,0.1360666666666667,131.57599123000003,162.91812807333332,294.4941193033333,322.91516666666666,0.4082000000000001,394.7279736900001,488.75438421999996,883.48235791,966.9965058549731,1197.340480695737,2164.3369865507098
2653,77.112,5,0.12944000000000006,159.11661612100002,158.49376731599997,317.610383437,317.64766,0.6472000000000002,795.5830806050001,792.4688365799999,1588.051917185,1229.2692840003087,1224.4574112793566,2453.7266952796654
2655,94.3488,5,0.12665999999999994,136.87004909299998,168.81398104600004,305.68403013899996,326.06848,0.6332999999999998,684.350245465,844.0699052300001,1528.4201506949998,1080.6098933601772,1332.812103631771,2413.4219969919477
2730,89.8128,4,0.13747499999999996,138.65197851874996,149.43210414249992,288.08408266124985,318.029325,0.5498999999999998,554.6079140749998,597.7284165699997,1152.3363306449994,1008.5614003909801,1086.9765713220584,2095.537971713038
2734,87.9984,5,0.16218,181.736346189,117.242670471,298.97901665999996,322.34803999999997,0.8109,908.6817309449999,586.213352355,1494.8950833,1120.5842039030706,722.9169470403256,1843.5011509433962
2742,99.792,5,0.1266799999999999,204.5294442979999,178.94760937799998,383.47705367599985,395.10046,0.6333999999999995,1022.6472214899995,894.7380468899999,1917.3852683799994,1614.5361880170512,1412.5955902904966,3027.131778307548
2753,84.3696,5,0.14889999999999998,143.489113628,129.39460126100002,272.88371488900003,284.9862,0.7444999999999999,717.4455681400001,646.9730063050001,1364.418574445,963.6609377300204,869.0033664271325,1832.6643041571526
2760,82.5552,5,0.13163999999999998,123.749182493,154.81797203400006,278.56715452700007,302.68324,0.6581999999999999,618.7459124650001,774.0898601700003,1392.8357726350002,940.057600220298,1176.0708905651784,2116.128490785476
2761,88.9056,4,0.12499999999999994,142.24468765999998,162.09645988375,304.34114754375,306.3555,0.4999999999999998,568.9787506399999,648.385839535,1217.364590175,1137.9575012800003,1296.7716790700006,2434.729180350001
2806,82.1016,5,0.12722,123.02803231599998,111.57325084899999,234.60128316499996,236.99816,0.6361,615.1401615799999,557.8662542449999,1173.0064158249997,967.0494601163338,877.0103037965728,1844.0597639129064
2811,85.2768,5,0.2089,123.25766724,116.58597071899999,239.84363795899998,253.52288,1.0445,616.2883362,582.9298535949999,1199.218189795,590.0319159406415,558.0946420248922,1148.1265579655337
2812,76.2048,5,0.1528,72.99571755,171.894940723,244.89065827299996,262.09272,0.764,364.97858775,859.474703615,1224.4532913649998,477.7206645942408,1124.9668895484292,1602.6875541426698
2815,97.0704,5,0.14946000000000007,201.33378365200002,241.12747732300005,442.4612609750001,457.2775,0.7473000000000003,1006.6689182600002,1205.6373866150002,2212.3063048750005,1347.0746932423388,1613.324483627726,2960.399176870065
2818,96.1632,5,0.1278,174.206855996,152.350757031,326.557613027,346.46403999999995,0.639,871.03427998,761.753785155,1632.788065135,1363.120938935837,1192.102950164319,2555.223889100156
2833,83.916,5,0.15611999999999995,170.92285595200002,104.01000782800017,274.93286378000016,333.48146,0.7805999999999997,854.61427976,520.0500391400009,1374.6643189000008,1094.8171659748916,666.2183437612107,1761.035509736102
2840,84.8232,4,0.12224999999999997,151.227224465,106.29168456875007,257.5189090337501,268.531975,0.4889999999999999,604.90889786,425.1667382750003,1030.0756361350004,1237.0325109611456,869.4616324642135,2106.494143425359
2843,83.4624,5,0.12554,141.79453277800002,188.715722863,330.510255641,330.32416,0.6277,708.97266389,943.578614315,1652.551278205,1129.4769219213,1503.231821435399,2632.708743356699
2853,89.3592,4,0.15140000000000003,135.7834364525,122.06994915124997,257.85338560375,295.6515,0.6056000000000001,543.13374581,488.2797966049999,1031.413542415,896.8522883256273,806.2744329673047,1703.1267212929322
2857,69.4008,5,0.14332000000000006,117.846223192,109.746021491,227.592244683,229.00174,0.7166000000000003,589.23111596,548.7301074549999,1137.961223415,822.2594417527208,765.7411491138706,1588.0005908665914
2859,93.8952,5,0.1472,181.21966371000002,224.37770131400003,405.597365024,429.9898,0.736,906.09831855,1121.8885065700001,2027.98682512,1231.1118458559783,1524.3050361005437,2755.416881956522
2860,78.9264,4,0.11179999999999995,170.02793465124998,165.285946755,335.31388140625,335.569075,0.4471999999999998,680.1117386049999,661.14378702,1341.255525625,1520.8223135174424,1478.4073949463334,2999.2297084637758
2861,82.5552,5,0.12723999999999996,170.72676494299998,115.85623112900001,286.58299607199996,304.14372,0.6361999999999999,853.633824715,579.281155645,1432.9149803599998,1341.7696081656713,910.5330959525309,2252.302704118202
2865,87.5448,5,0.15222000000000002,193.99060493000002,130.00792469699996,323.998529627,349.25559999999996,0.7611000000000001,969.9530246500001,650.0396234849999,1619.9926481349999,1274.409439823939,854.0791269018523,2128.4885667257913
2882,88.9056,4,0.12845000000000006,146.82322246125,151.20668017875,298.02990263999993,312.064175,0.5138000000000003,587.292889845,604.826720715,1192.1196105599997,1143.0379327462042,1177.163722683923,2320.2016554301267
2889,111.132,5,0.15278000000000008,183.87366966600007,152.38507897,336.25874863600006,367.1184,0.7639000000000005,919.3683483300003,761.92539485,1681.2937431800003,1203.51924117031,997.4150999476365,2200.9343411179466
2891,113.8536,5,0.14943999999999993,216.385340678,225.86845409900002,442.253794777,492.72101999999995,0.7471999999999996,1081.92670339,1129.342270495,2211.268973885,1447.9747101043904,1511.432374859476,2959.4070849638665
2905,99.3384,5,0.13000000000000006,174.07978048800004,199.98580941599997,374.065589904,389.7758,0.6500000000000004,870.3989024400001,999.9290470799998,1870.32794952,1339.0752345230765,1538.3523801230758,2877.427614646152
2907,82.5552,5,0.13105999999999995,142.409095383,117.75515829899996,260.164253682,271.02522,0.6552999999999998,712.045476915,588.7757914949998,1300.82126841,1086.594654227072,898.4828193117656,1985.0774735388377
