session_pitch,eligible_final_A_to_T,run_pattern,switch_count,final_t_start_time,final_t_phase_fp_br,final_t_minus_mer_ms,final_t_before_mer,stp_positive_fp_br_j,stp_active_duration_s,stp_active_mean_power_w,stp_positive_fp_mer_j,stp_before_final_t_j,stp_after_final_t_j,stp_after_final_t_share,session,session_mass_kg
2815_4,True,T->A->T,2,1.6278,0.6171516079632463,-19.400000000000084,True,190.1576081700001,0.12360000000000004,1538.491975485437,160.55748438500007,103.84831827499983,86.30928989500025,0.45388291704763195,2815,97.0704
2815_5,True,A->T->A->T,3,1.7556,0.6083274523641503,-22.199999999999996,True,197.63726401500003,0.13480000000000003,1466.1518102002965,167.0670432500001,104.83472921500015,92.80253479999986,0.46955990441638806,2815,97.0704
2818_1,True,A->T,1,1.2972,0.30438184663536694,-52.80000000000018,True,175.68089152,0.12780000000000014,1374.6548632237857,156.64216510500015,50.055895304999844,125.62499621500015,0.7150749015905277,2818,96.1632
2818_2,True,A->T,1,1.1556,0.2896000000000001,-55.50000000000011,True,169.622298265,0.125,1356.97838612,154.13519284500015,50.60752273999997,119.01477552500005,0.701645813919252,2818,96.1632
2818_3,True,A->T,1,1.1472,0.28880000000000017,-55.600000000000094,True,176.77025461,0.125,1414.16203688,157.98131629500014,49.57433981000002,127.19591479999998,0.7195549674385344,2818,96.1632
2818_4,True,A->T,1,1.1472,0.361408882082695,-50.00000000000004,True,174.37021093999994,0.13059999999999983,1335.1470975497716,152.87960774999996,64.31626594999992,110.05394498999996,0.6311510687331168,2818,96.1632
2818_5,True,A->T,1,1.2306,0.36217457886676785,-47.20000000000013,True,174.590624645,0.13060000000000005,1336.8347982006119,156.42046122000005,66.58051393499984,108.0101107100002,0.6186478279095466,2818,96.1632
2833_1,True,T->A->T->A->T,4,1.2361,0.6778523489932887,-22.199999999999996,True,170.11405142,0.15139999999999998,1123.6066804491415,158.85440065499995,123.57183195999995,46.54221946000006,0.2735942097169298,2833,83.916
2833_2,True,T->A->T->A->T,4,1.1583,0.6604501607717044,-22.299999999999986,True,171.18547684499995,0.1429999999999999,1197.101236678322,159.8321355850001,125.01581641500015,46.16966042999982,0.26970547549313534,2833,83.916
2833_3,True,T->A->T->A->T,4,1.15,0.6550868486352351,-25.000000000000135,True,173.36050473,0.14864999999999995,1166.2327933400609,161.99538050500007,120.93311737499987,52.42738735500015,0.30241828977513124,2833,83.916
2833_4,True,T->A->T->A->T,4,1.2889,0.6544502617801046,-22.199999999999996,True,166.14516316499996,0.13749999999999996,1208.3284593818182,155.23463666499995,119.20209772499989,46.9430654400001,0.282542473977293,2833,83.916
2833_5,True,A->T->A->T,3,1.4306,0.6039402173913058,-27.699999999999836,True,173.80908360000006,0.13470000000000015,1290.3421202672596,159.97162151999996,115.7207049150002,58.088378684999874,0.3342079566950772,2833,83.916
2840_1,False,T->A->T->A,3,,,,,151.51440900500006,0.12230000000000008,1238.8749714227308,128.50784851999998,,,,2840,84.8232
2840_2,False,T->A->T->A,3,,,,,155.43398250500002,0.12365000000000004,1257.0479782046095,135.07962151000012,,,,2840,84.8232
