session,session_mass_kg,eligible_pitch_n,final_t_phase_fp_br,final_t_minus_mer_ms,final_t_before_mer_fraction,stp_positive_fp_br_j,stp_positive_fp_mer_j,stp_active_duration_s,stp_active_mean_power_w,stp_after_final_t_share
2859,93.8952,5,0.6482313756331091,-14.999999999999991,1.0,187.12559585000002,159.3281813150001,0.13083000000000003,1433.7663225218653,0.3913848917659366
2860,78.9264,4,0.7393109372394656,1.3749999999999596,0.5,170.02793465124998,136.0303711475,0.11179999999999995,1520.9202472971917,0.18064130976660875
2861,82.5552,5,0.6332120138590749,-15.000000000000034,1.0,170.72676494299998,151.74684143800002,0.12445999999999995,1373.241700098355,0.27406835440644206
2865,87.5448,5,0.5431570042860793,-39.44000000000001,1.0,193.99060493000002,178.97787558,0.15194000000000002,1278.495328444,0.4239880834834858
2882,88.9056,4,0.5505543799315333,-22.224999999999994,1.0,146.82322246125,125.24243814124998,0.12152500000000002,1210.0160273324495,0.4912318885740554
2889,111.132,5,0.16672270368740244,-87.23999999999998,1.0,183.87366966600007,166.06934689700006,0.14638000000000012,1265.4373598830257,0.8407522380345845
2891,113.8536,5,0.7590874063675048,-2.240000000000019,0.4,216.385340678,192.87523526200002,0.13221,1640.0059659001886,0.19679540665718584
2905,99.3384,5,0.6918727517769943,-8.360000000000012,1.0,174.07978048800004,146.39773576399998,0.13000000000000006,1338.935588455866,0.2551582871877329
2907,82.5552,5,0.7073492802370286,-9.479999999999977,1.0,142.409095383,124.04918631899996,0.13105999999999995,1087.4345015926324,0.23824595242567242
2916,86.6376,2,0.8932384594015093,18.00000000000007,0.0,229.266972295,206.4256101924999,0.13957499999999998,1643.9319482727537,0.01119092109563688
2918,100.2456,5,0.9148085890935697,17.239999999999966,0.0,197.92254712000002,168.9537447930001,0.13666000000000003,1448.6415682760685,0.028357314701364884
2919,84.8232,4,0.4330385852090034,-54.87499999999995,1.0,173.2290072775,150.07359143749997,0.15137499999999998,1144.455376464255,0.5986436463991194
2923,73.4832,5,0.7640642529574674,-1.6600000000000392,1.0,135.91278869499996,129.95365910900003,0.11356999999999992,1196.631710703837,0.055410262576811656
2926,80.7408,4,0.595525553154099,-24.27500000000005,1.0,179.46445115375002,162.99539762625002,0.138575,1296.4112891273726,0.3610558083638891
2927,79.8336,2,0.8854726887791109,15.250000000000098,0.0,149.2657828374999,135.93638187999989,0.12084999999999996,1236.3001409773817,0.003569941884189231
2935,90.72,5,0.6930497404990273,-4.459999999999953,1.0,151.90302486200002,137.66835878,0.11448000000000005,1327.987327083853,0.13545421827532633
2965,87.0912,5,0.6514303942320391,-12.780000000000058,1.0,161.73494748,134.0863505750001,0.13387999999999994,1208.3755633752166,0.3418553146112089
2969,104.7816,3,0.45259651101649917,-50.966666666666676,1.0,226.76778576499999,194.78578677166675,0.1509166666666667,1502.5943069549933,0.618753902302568
2979,101.6064,5,0.8294860004552695,3.3200000000000345,0.2,207.573106851,198.369921809,0.13860000000000006,1498.2036412834636,0.03049734118845456
2981,85.7304,3,0.8186897996515801,7.366666666666596,0.0,151.46868292166667,130.58704093500015,0.12731666666666666,1189.8547914769933,0.06010164419721467
2989,83.916,5,0.5930134355490456,-21.120000000000026,0.8,145.59066718399998,128.48958354500004,0.12971000000000005,1127.8895043398306,0.3698025500577292
2990,83.0088,4,0.6720084962474786,-15.95000000000002,1.0,165.157096515,140.5529904875,0.145825,1141.228509462423,0.3281400180576195
