session_pitch,eligible_arm_limited,all_frame_n,all_torso_accelerating_fraction,all_torso_accelerating_raw_fraction,all_thorax_net_positive_fraction,all_both_accel_and_net_positive_fraction,all_stp_weighted_accelerating_fraction,all_stp_weighted_net_positive_fraction,all_stp_weighted_both_fraction,all_mean_thorax_shoulder_stp_w,all_mean_arm_shoulder_stp_w,all_mean_thorax_net_seg_pwr_w,all_mean_torso_accel_deg_s2,pre_mer_frame_n,pre_mer_torso_accelerating_fraction,pre_mer_torso_accelerating_raw_fraction,pre_mer_thorax_net_positive_fraction,pre_mer_both_accel_and_net_positive_fraction,pre_mer_stp_weighted_accelerating_fraction,pre_mer_stp_weighted_net_positive_fraction,pre_mer_stp_weighted_both_fraction,pre_mer_mean_thorax_shoulder_stp_w,pre_mer_mean_arm_shoulder_stp_w,pre_mer_mean_thorax_net_seg_pwr_w,pre_mer_mean_torso_accel_deg_s2,session
1782_1,True,26.0,0.6538461538461539,0.6538461538461539,0.7692307692307693,0.46153846153846156,0.49469420519661544,0.8110936175130871,0.3748754113314661,-1289.223773076923,921.7755461538461,959.6016884615385,1327.2647195816267,23.0,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.5217391304347826,0.5667936819952499,0.7835613537465934,0.4295118326554823,-1301.0749565217393,909.4577260869564,604.1184391304348,2129.4765830540045,1782
1782_2,True,30.0,0.6333333333333333,0.6333333333333333,0.7,0.4666666666666667,0.5571569224535476,0.7318159044475276,0.4667386109367408,-1288.8460300000004,1038.8442366666668,1066.4916833333334,911.8609339488544,26.0,0.7307692307692307,0.7307692307692307,0.6538461538461539,0.5384615384615384,0.6191826574314427,0.7019601942056595,0.5186984883415249,-1335.8643923076925,1078.591746153846,591.1177846153846,1766.9770037126805,1782
1782_3,True,30.0,0.7,0.7,0.6,0.4666666666666667,0.588793400820167,0.6143671555525366,0.42957202603817685,-1285.735993333333,1016.7905733333333,712.9355833333334,1182.5734815650842,28.0,0.75,0.75,0.5714285714285714,0.5,0.6374472300208051,0.5825011147277455,0.46506889803966356,-1288.0567464285712,1006.2674607142857,519.1407892857143,1539.6543584596147,1782
1782_4,True,32.0,0.59375,0.59375,0.59375,0.3125,0.46343186538541586,0.608697634405096,0.2587703690577649,-1427.03779375,1100.2643500000001,554.21065625,683.2857419156462,29.0,0.6551724137931034,0.6551724137931034,0.5517241379310345,0.3448275862068966,0.4978944278279308,0.5795988968873317,0.27801352143467206,-1466.7897068965515,1130.049968965517,231.35447586206902,1351.6707638253154,1782
1783_2,True,48.0,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.4166666666666667,0.44609745990790683,0.6867807093523964,0.2329079798211579,-1000.897175,884.5998000000001,792.6330354166666,2861.0871684579083,48.0,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.4166666666666667,0.44609745990790683,0.6867807093523964,0.2329079798211579,-1000.897175,884.5998000000001,792.6330354166666,2861.0871684579083,1783
1783_3,True,47.0,0.6382978723404256,0.6382978723404256,0.7021276595744681,0.3617021276595745,0.37770353735519535,0.7267274891857258,0.16120241101114643,-1033.2806085106383,868.9504872340425,742.7490489361704,2481.7840404645954,47.0,0.6382978723404256,0.6382978723404256,0.7021276595744681,0.3617021276595745,0.37770353735519535,0.7267274891857258,0.16120241101114643,-1033.2806085106383,868.9504872340425,742.7490489361704,2481.7840404645954,1783
1783_4,True,49.0,0.6122448979591837,0.6122448979591837,0.6530612244897959,0.32653061224489793,0.3484112273946907,0.6495214777052575,0.15022911386448706,-1010.8497265306122,901.8499387755102,562.7777346938775,2579.3851496334905,49.0,0.6122448979591837,0.6122448979591837,0.6530612244897959,0.32653061224489793,0.3484112273946907,0.6495214777052575,0.15022911386448706,-1010.8497265306122,901.8499387755102,562.7777346938775,2579.3851496334905,1783
1783_5,True,48.0,0.6458333333333334,0.6458333333333334,0.7708333333333334,0.4166666666666667,0.38390411440627675,0.8334813084322448,0.21738542283852155,-1020.7857729166667,877.24265625,755.8400520833333,2840.8409479105903,48.0,0.6458333333333334,0.6458333333333334,0.7708333333333334,0.4166666666666667,0.38390411440627675,0.8334813084322448,0.21738542283852155,-1020.7857729166667,877.24265625,755.8400520833333,2840.8409479105903,1783
1808_1,True,24.0,0.375,0.375,1.0,0.375,0.37547205500531994,1.0,0.37547205500531994,-1637.2721125,1359.6369666666667,6361.377341666666,-3146.8517782463437,24.0,0.375,0.375,1.0,0.375,0.37547205500531994,1.0,0.37547205500531994,-1637.2721125,1359.6369666666667,6361.377341666666,-3146.8517782463437,1808
1808_2,True,25.0,0.4,0.4,1.0,0.4,0.39405108958919804,1.0,0.39405108958919804,-1655.2898679999998,1422.7297839999999,6522.902983999999,-2839.7255146122143,25.0,0.4,0.4,1.0,0.4,0.39405108958919804,1.0,0.39405108958919804,-1655.2898679999998,1422.7297839999999,6522.902983999999,-2839.7255146122143,1808
1808_3,True,25.0,0.36,0.36,1.0,0.36,0.3411178033803028,1.0,0.3411178033803028,-1680.3627560000002,1392.5029280000003,6144.6849839999995,-3038.903048788095,25.0,0.36,0.36,1.0,0.36,0.3411178033803028,1.0,0.3411178033803028,-1680.3627560000002,1392.5029280000003,6144.6849839999995,-3038.903048788095,1808
1808_4,True,25.0,0.36,0.36,1.0,0.36,0.3296712153951859,1.0,0.3296712153951859,-1727.8678519999999,1400.47956,5654.160080000001,-3008.098326465265,25.0,0.36,0.36,1.0,0.36,0.3296712153951859,1.0,0.3296712153951859,-1727.8678519999999,1400.47956,5654.160080000001,-3008.098326465265,1808
1808_5,True,23.0,0.34782608695652173,0.34782608695652173,1.0,0.34782608695652173,0.3096111285457214,1.0,0.3096111285457214,-1765.9172695652169,1450.0420478260871,5985.96076521739,-3469.7035983282763,23.0,0.34782608695652173,0.34782608695652173,1.0,0.34782608695652173,0.3096111285457214,1.0,0.3096111285457214,-1765.9172695652169,1450.0420478260871,5985.96076521739,-3469.7035983282763,1808
1826_1,True,22.0,0.2727272727272727,0.2727272727272727,0.5909090909090909,0.2727272727272727,0.2544983028482015,0.49935795451526926,0.2544983028482015,-1904.1770318181816,1407.4583090909089,28.016336363636366,-3077.971511817573,22.0,0.2727272727272727,0.2727272727272727,0.5909090909090909,0.2727272727272727,0.2544983028482015,0.49935795451526926,0.2544983028482015,-1904.1770318181816,1407.4583090909089,28.016336363636366,-3077.971511817573,1826
1826_2,True,22.0,0.3181818181818182,0.3181818181818182,0.7727272727272727,0.3181818181818182,0.2834433643444878,0.6662871335161193,0.2834433643444878,-1920.5026227272726,1401.4107318181818,319.9725409090908,-3086.771642940963,22.0,0.3181818181818182,0.3181818181818182,0.7727272727272727,0.3181818181818182,0.2834433643444878,0.6662871335161193,0.2834433643444878,-1920.5026227272726,1401.4107318181818,319.9725409090908,-3086.771642940963,1826
1826_3,True,24.0,0.25,0.25,0.4166666666666667,0.25,0.1965203003543662,0.31553891115237515,0.1965203003543662,-1993.3576666666668,1429.1534958333334,86.52775000000001,-3668.539177326767,24.0,0.25,0.25,0.4166666666666667,0.25,0.1965203003543662,0.31553891115237515,0.1965203003543662,-1993.3576666666668,1429.1534958333334,86.52775000000001,-3668.539177326767,1826
