session,all_frame_n,all_torso_accelerating_fraction,all_torso_accelerating_raw_fraction,all_thorax_net_positive_fraction,all_both_accel_and_net_positive_fraction,all_stp_weighted_accelerating_fraction,all_stp_weighted_net_positive_fraction,all_stp_weighted_both_fraction,all_mean_thorax_shoulder_stp_w,all_mean_arm_shoulder_stp_w,all_mean_thorax_net_seg_pwr_w,all_mean_torso_accel_deg_s2,pre_mer_frame_n,pre_mer_torso_accelerating_fraction,pre_mer_torso_accelerating_raw_fraction,pre_mer_thorax_net_positive_fraction,pre_mer_both_accel_and_net_positive_fraction,pre_mer_stp_weighted_accelerating_fraction,pre_mer_stp_weighted_net_positive_fraction,pre_mer_stp_weighted_both_fraction,pre_mer_mean_thorax_shoulder_stp_w,pre_mer_mean_arm_shoulder_stp_w,pre_mer_mean_thorax_net_seg_pwr_w,pre_mer_mean_torso_accel_deg_s2
1759,33.0,0.545770202020202,0.545770202020202,0.8876262626262627,0.4750631313131313,0.46227165122734953,0.8737278728065466,0.40210278422411055,-1316.5811533793822,1109.0024256294564,720.8957148841355,-1477.1593718954173,25.333333333333332,0.7096913580246914,0.7096913580246914,0.8869135802469136,0.6232716049382716,0.5717086235883359,0.8834419890621579,0.4999492457542181,-1336.5263258641976,1169.4488248395062,704.0668967962964,1442.2837528457633
1778,33.5,0.7008928571428572,0.7008928571428572,0.6709821428571429,0.371875,0.5914213617777311,0.6797458573336292,0.2711672191113603,-1413.121356964286,1192.6433810267858,916.8758968303572,2600.5207337935444,33.5,0.7008928571428572,0.7008928571428572,0.6709821428571429,0.371875,0.5914213617777311,0.6797458573336292,0.2711672191113603,-1413.121356964286,1192.6433810267858,916.8758968303572,2600.5207337935444
1779,26.333333333333332,0.8488888888888889,0.8488888888888889,1.0,0.8488888888888889,0.7906249336878677,1.0,0.7906249336878677,-1443.720288691358,1217.9764538765432,1781.5890783209877,4619.237194949213,26.333333333333332,0.8488888888888889,0.8488888888888889,1.0,0.8488888888888889,0.7906249336878677,1.0,0.7906249336878677,-1443.720288691358,1217.9764538765432,1781.5890783209877,4619.237194949213
1782,29.5,0.6452323717948718,0.6452323717948718,0.6657451923076922,0.4268429487179487,0.5260190984639365,0.6914935779795619,0.38248910434103717,-1322.710897540064,1019.4186765384616,823.3099028445513,1026.2462192528028,26.5,0.7187680198362357,0.7187680198362357,0.6290323244970921,0.4762570637758044,0.5803294993188571,0.6619053898918326,0.4228231851178357,-1347.9464505386386,1031.0917254801514,486.4328722234007,1696.9446772629037
1783,48.0,0.6407606925749023,0.6407606925749023,0.7085888876827326,0.38039151830945145,0.3890290847660174,0.7241277461689062,0.19043123188382824,-1016.4533207394793,883.1607205648882,713.4999677825119,2690.7743266166462,48.0,0.6407606925749023,0.6407606925749023,0.7085888876827326,0.38039151830945145,0.3890290847660174,0.7241277461689062,0.19043123188382824,-1016.4533207394793,883.1607205648882,713.4999677825119,2690.7743266166462
1808,24.4,0.3685652173913043,0.3685652173913043,1.0,0.3685652173913043,0.34998465838314563,1.0,0.34998465838314563,-1693.3419716130434,1405.0782572985509,6133.817230976811,-3100.656453288039,24.4,0.3685652173913043,0.3685652173913043,1.0,0.3685652173913043,0.34998465838314563,1.0,0.34998465838314563,-1693.3419716130434,1405.0782572985509,6133.817230976811,-3100.656453288039
1826,22.8,0.3073122529644269,0.3073122529644269,0.5038866930171279,0.29861660079051383,0.25805108197769666,0.414566786154159,0.2536709982842658,-1953.3866694598157,1423.6857908267457,14.562015019762836,-3018.1603764275305,22.8,0.3073122529644269,0.3073122529644269,0.5038866930171279,0.29861660079051383,0.25805108197769666,0.414566786154159,0.2536709982842658,-1953.3866694598157,1423.6857908267457,14.562015019762836,-3018.1603764275305
1830,21.6,0.3165424430641822,0.3165424430641822,0.9904761904761905,0.3165424430641822,0.25212555371349277,0.9860264042863534,0.25212555371349277,-1419.0035303519667,1302.5607515590061,4310.000747604556,-1394.2022390606235,21.6,0.3165424430641822,0.3165424430641822,0.9904761904761905,0.3165424430641822,0.25212555371349277,0.9860264042863534,0.25212555371349277,-1419.0035303519667,1302.5607515590061,4310.000747604556,-1394.2022390606235
1845,18.0,0.41568627450980394,0.41568627450980394,0.6009803921568627,0.3323529411764706,0.3626353862083813,0.3589819885905223,0.2894640473767797,-1772.132420490196,912.2539129411765,744.4955479411765,-2528.6745273125543,18.0,0.41568627450980394,0.41568627450980394,0.6009803921568627,0.3323529411764706,0.3626353862083813,0.3589819885905223,0.2894640473767797,-1772.132420490196,912.2539129411765,744.4955479411765,-2528.6745273125543
2653,32.4,0.4014317750560634,0.4014317750560634,0.9764705882352942,0.4014317750560634,0.19900016378194701,0.9689481372043595,0.19900016378194701,-1685.2594365470645,1274.0948709223162,1373.0062222482893,-1050.37232592126,32.4,0.4014317750560634,0.4014317750560634,0.9764705882352942,0.4014317750560634,0.19900016378194701,0.9689481372043595,0.19900016378194701,-1685.2594365470645,1274.0948709223162,1373.0062222482893,-1050.37232592126
