session_pitch,user,session_height_m,pitch_speed_mph,fp_poi_time,ER90_time,MER_time,BR_time,ER90_to_MER_duration_s,shoulder_angle_z_at_MER_deg,hand_jc_z_at_ER90_m,hand_jc_z_at_MER_m,max_hand_height_drop_m,max_hand_height_drop_cm,max_hand_height_drop_pct_body_height,max_hand_height_drop_start_time,max_hand_height_drop_end_time,max_hand_height_drop_duration_s,height_drop_cm_within_pitcher,speed_mph_within_pitcher
1601_3,628,1.8542,86.2,1.2667,1.3037779620253165,1.3806,1.4139,0.07682203797468357,173.6189,1.369902496835443,1.4998,0.11600249683544295,11.600249683544295,6.256201965022271,1.3037779620253165,1.3389,0.035122037974683495,0.7944604536858968,0.0
1612_1,625,1.8034,86.4,1.1167,1.148390243902439,1.2139,1.2444,0.06550975609756104,158.1403,1.338054355400697,1.4977,0.048954355400697036,4.895435540069704,2.714558910984642,1.148390243902439,1.175,0.02660975609756111,0.2880423726993486,0.7999999999999972
1612_2,625,1.8034,85.8,1.0861,1.11541235287124,1.1806,1.2111,0.06518764712876002,159.1295,1.3635709665913682,1.5171,0.051270966591368206,5.1270966591368206,2.8430168898396477,1.11541235287124,1.1417,0.02628764712875986,0.5197034917664656,0.19999999999998863
1612_3,625,1.8034,84.6,0.9444,0.9773759336099586,1.0417,1.0722,0.06432406639004151,157.396,1.3294964730290455,1.5184,0.03799647302904541,3.799647302904541,2.106935401410969,0.9773759336099586,0.9972,0.019824066390041417,-0.8077458644658142,-1.0000000000000142
1615_1,830,1.778,85.4,1.0528,1.08925554994445,1.15,1.1806,0.06074445005554985,168.8882,1.223434935865064,1.288,0.066334935865064,6.6334935865064,3.730873783186952,1.08925554994445,1.1194,0.030144450055549887,0.12725215579589833,0.5
1615_2,830,1.778,84.4,1.2306,1.2492084321360977,1.3056,1.3361,0.056391567863902425,167.0407,1.2746898927491461,1.3506,0.06378989274914604,6.378989274914604,3.5877330005144,1.2492084321360977,1.2778,0.02859156786390238,-0.12725215579589833,-0.5
1620_1,967,1.8542,85.0,1.3389,1.3563014208721216,1.4389,1.4778,0.08259857912787849,184.6568,1.3585932440524795,1.179,0.21759324405247948,21.75932440524795,11.735155002290988,1.3563014208721216,1.4222,0.06589857912787833,0.07522762841542985,0.20000000000000284
1620_3,967,1.8542,84.6,1.3139,1.3335056542579145,1.4139,1.4528,0.08039434574208548,183.5441,1.3269886914841709,1.1445,0.21608869148417087,21.608869148417085,11.654012052862198,1.3335056542579145,1.4,0.06649434574208546,-0.0752276284154334,-0.20000000000000284
1623_1,970,1.7526,85.8,1.5083,1.5400502941081933,1.6222,1.6528,0.08214970589180681,172.4469,1.226964327729742,1.356,0.019300000000000095,1.9300000000000095,1.1012210430218017,1.5417,1.5778,0.03610000000000002,0.32166084180096366,0.19999999999998863
1623_2,970,1.7526,85.7,1.8278,1.8541951071128082,1.9361,1.9694,0.08190489288719172,174.501,1.2118501747459711,1.3611,0.01995017474597116,1.995017474597116,1.1383187690272258,1.8541951071128082,1.8889,0.03470489288719181,0.38667831639807027,0.09999999999999432
1623_3,970,1.7526,85.3,1.7,1.7336053364269142,1.8139,1.8444,0.0802946635730859,172.2693,1.208954524361949,1.3471,0.009000000000000119,0.9000000000000119,0.5135227661759739,1.7361,1.7639,0.027800000000000047,-0.7083391581990339,-0.30000000000001137
1665_1,616,2.032,87.1,1.2333,1.2966209044184338,1.3444,1.3722,0.04777909558156623,162.5317,1.6232272794022373,1.5722,0.06622727940223738,6.622727940223738,3.259216506015619,1.2966209044184338,1.3333,0.036679095581566123,-1.9467635999879693,-0.13333333333333997
1665_2,616,2.032,87.3,1.3528,1.41199693561298,1.4556,1.4833,0.043603064387019996,162.0228,1.6267459617002935,1.5322,0.09584596170029358,9.584596170029357,4.716828823833345,1.41199693561298,1.4528,0.04080306438702008,1.0151046298176496,0.06666666666666288
1665_3,616,2.032,87.3,1.2139,1.2742505685121026,1.3222,1.3528,0.04794943148789743,166.9818,1.6488115051038204,1.5592,0.09501150510382028,9.501150510382029,4.675763046447848,1.2742505685121026,1.3167,0.04244943148789737,0.9316589701703215,0.06666666666666288
1668_1,986,1.8542,87.9,1.1111,1.131259806062724,1.2028,1.2361,0.07154019393727618,177.9213,1.453500646457587,1.351,0.17640064645758713,17.640064645758713,9.513571699794365,1.131259806062724,1.1833,0.0520401939372761,0.6655534510768994,0.13333333333333997
1668_2,986,1.8542,87.6,1.3278,1.34598643142197,1.4194,1.4528,0.07341356857802994,175.343,1.397250630119723,1.3058,0.16055063011972304,16.055063011972305,8.658754725473143,1.34598643142197,1.3972,0.051213568578029944,-0.9194481827095089,-0.1666666666666714
1668_3,986,1.8542,87.8,1.0861,1.1176560272715352,1.1889,1.2222,0.07124397272846483,178.1733,1.3992840592631444,1.2863,0.17228405926314427,17.228405926314426,9.291557505293078,1.1176560272715352,1.1694,0.05174397272846476,0.253894731632613,0.03333333333333144
1688_1,511,1.9812,93.1,1.525,1.5576053193120152,1.6361,1.6667,0.07849468068798493,177.0473,1.447868951773615,1.5408,0.05556895177361487,5.556895177361487,2.8048128292759373,1.5576053193120152,1.5972,0.039594680687984773,-0.506837064403121,0.8499999999999943
1688_2,511,1.9812,91.4,1.4444,1.461632330548963,1.5417,1.5722,0.08006766945103716,175.9829,1.4429056930616773,1.4891,0.06570569306167728,6.570569306167728,3.316459371172889,1.461632330548963,1.5083,0.046667669451037064,0.5068370644031202,-0.8499999999999943
1717_1,922,1.9304,72.0,1.1111,1.1452120579888012,1.2083,1.2417,0.06308794201119872,145.3224,1.4792749482242846,1.6043,0.016574948224284736,1.6574948224284736,0.8586276535580571,1.1452120579888012,1.1694,0.024187942011198782,0.4444855008645554,0.29999999999999716
1717_3,922,1.9304,71.4,1.1611,1.1936721426895094,1.2556,1.2861,0.061927857310490664,143.309,1.4993852382069937,1.641,0.007685238206993628,0.7685238206993628,0.3981163596660603,1.1936721426895094,1.2111,0.01742785731049068,-0.4444855008645554,-0.29999999999999716
1718_1,1000,1.905,91.2,1.4,1.433356763959391,1.4889,1.5222,0.055543236040608956,149.219,1.41729255393401,1.4429,0.05569255393401007,5.569255393401007,2.9234936448299247,1.433356763959391,1.4639,0.030543236040609045,-0.7126286416936587,0.2666666666666657
1718_2,1000,1.905,90.8,1.475,1.5197197076023392,1.575,1.6083,0.055280292397660746,150.7983,1.415980657894737,1.4368,0.06578065789473686,6.578065789473686,3.4530529078602026,1.5197197076023392,1.5528,0.03308029239766075,0.2961817543790204,-0.13333333333333997
1718_3,1000,1.905,90.8,1.3639,1.3975344556954232,1.4528,1.4889,0.055265544304576864,148.4333,1.412983309224093,1.4219,0.06698330922409301,6.698330922409301,3.5161842112384782,1.3975344556954232,1.4306,0.033065544304576866,0.41644688731463564,-0.13333333333333997
