session_pitch,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp,session,session_mass_kg
2730_1,0.09999999999999987,288.7544601649997,112.88928166999989,175.8651784949999,-5.684341886080802e-14,112.88928166999989,0.0,175.8651784949999,0.0,485.9869287028113,4.793357289166335,-0.8360845416828205,-0.7717820317195049,3665.0890698623293,0.5135135135135135,0.4864864864864865,969.8078,24.8662,20.6799,2730,89.8128
2730_2,0.12219999999999986,307.18334393999965,120.80393176999978,186.37941216999988,-2.842170943040401e-14,120.80393176999978,0.0,186.37941216999988,0.0,453.66974893774,4.767594919877069,-0.7829973145741403,-0.822601236539617,3280.373100931511,0.5777777777777777,0.4222222222222222,993.1391,25.0339,24.5413,2730,89.8128
2730_3,0.09719999999999995,290.34616707499987,110.52255163999993,179.82361543499997,-2.842170943040401e-14,110.52255163999993,0.0,179.82361543499997,0.0,489.5041549394934,4.871779802172058,-0.831659801714123,-0.875832179789493,3798.1391700259223,0.4722222222222222,0.5277777777777778,1019.0478,24.5123,20.8873,2730,89.8128
2730_5,0.10549999999999993,298.41279981499997,117.16647866499997,181.24632114999997,2.842170943040401e-14,117.16647866499997,0.0,181.24632114999997,0.0,472.76773860854286,4.9026185692021,-0.8239941429542808,-0.7271904566080621,3601.8933143948016,0.5128205128205128,0.48717948717948717,1000.6647,23.2454,21.738,2730,89.8128
2734_1,0.12769999999999992,307.48142954499997,146.04215366499994,161.43927587999997,5.684341886080802e-14,146.04215366499994,0.0,166.61480580499997,-5.175529924999987,624.4381972183875,4.392366910652824,-0.4254896910268792,-0.8399906751555696,3146.987720659331,0.2978723404255319,0.7021276595744681,1074.0838,39.1023,39.1023,2734,87.9984
2734_2,0.1333000000000002,308.37566806500024,151.13618875500006,157.2394793100001,8.526512829121202e-14,151.13618875500006,0.0,162.5731113450001,-5.333632034999963,629.6191819395746,4.189832516197735,-0.42999381879444043,-0.8432548627983274,2989.445746964562,0.2653061224489796,0.7346938775510204,1180.9339,41.9362,40.1936,2734,87.9984
2734_3,0.13329999999999997,296.96657038000023,144.45973028500015,152.50684009500003,5.684341886080802e-14,144.45973028500015,0.0,158.8167733350001,-6.309933240000065,642.9903585439811,4.254659667952939,-0.3140586547814889,-0.8617368961918292,2867.9115747729575,0.3469387755102041,0.6530612244897959,1066.5568,36.2088,36.0507,2734,87.9984
2734_4,0.125,311.23892082500004,156.27068150500003,154.96823931999998,2.842170943040401e-14,156.27068150500003,0.0,159.87497535499998,-4.906736034999986,628.9909927850778,4.312403440819743,-0.41158636449498864,-0.7570342982822643,2981.444180148478,0.4782608695652174,0.5217391304347826,1071.4013,35.1037,35.1037,2734,87.9984
2734_5,0.1360999999999999,297.5977435349998,150.4349191999999,147.16282433499987,0.0,150.4349191999999,0.0,152.1010360699999,-4.938211735000014,660.4295358552358,4.155078860028241,-0.34681473218978337,-0.7556709125833992,2852.3464819040623,0.48,0.52,1051.4356,36.3886,35.7549,2734,87.9984
2742_1,0.1028,386.28149620500034,189.31650873500016,196.96498747000015,2.842170943040401e-14,189.31650873500016,0.0,196.96498747000015,0.0,744.630027601882,3.986427600329978,-0.8419630228202729,-0.9223338508538358,4470.369980092465,0.5526315789473685,0.4473684210526316,1072.2864,38.796,35.7902,2742,99.792
