session,session_mass_kg,pitch_n,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp
1612,91.1736,3,0.09633333333333334,341.4061136950001,142.58852976666674,198.8175839283334,-9.473903143468002e-15,142.58852976666674,0.0,198.9002575566667,-0.0826736283333326,594.6251909253223,4.569341706954938,-0.5670587158088202,-0.6172517296777351,3783.1250302816893,0.15767195767195766,0.8423280423280423,1082.4549666666667,27.421466666666664,24.849100000000004
1615,87.5448,2,0.08610000000000007,278.87340420750013,115.41439657500007,163.45900763250012,-2.842170943040401e-14,115.41439657500007,0.0,163.48587804250013,-0.02687040999999917,660.1228183383007,4.641007756169381,-0.5204943926222365,0.17565957270030455,3408.911819723971,0.27976190476190477,0.7202380952380952,1114.5955,48.209599999999995,42.1769
1620,92.0808,2,0.09999999999999998,330.1761956675,120.33151886999997,209.8446767975,1.4210854715202004e-14,120.33151886999997,0.0,209.8446767975,0.0,537.5767719197884,4.868404154217135,-0.3735631910876732,-0.022526528205434704,3190.6191683748843,0.3783783783783784,0.6216216216216217,974.9763,24.824849999999998,22.17125
1623,81.648,3,0.11203333333333336,324.9407765000001,151.69158089833334,173.24919560166674,-1.8947806286936004e-14,151.69158089833334,0.0,177.6976312466667,-4.448435644999987,484.2662800954363,4.642155948437492,-0.3858936634969247,-0.866385316483178,2932.1113551343574,0.669047619047619,0.33095238095238094,1001.0259666666667,21.838933333333333,21.64646666666667
1665,106.596,3,0.10740000000000001,426.02908800000006,152.17174802000008,273.85733998,-1.8947806286936004e-14,152.17174802000008,0.0,273.85733998,0.0,639.4150592890478,5.04678686111914,-0.4766598626259435,-0.3708439031217192,4264.532505442824,0.2189880188275567,0.7810119811724433,1029.0667333333333,35.52996666666667,34.43686666666667
1668,81.648,3,0.09536666666666667,273.0757944516667,98.81694832500006,174.25884612666664,9.473903143468002e-15,98.81694832500006,0.0,174.25884612666664,0.0,487.27752974656806,5.054677262958092,-0.7134113856463298,-0.6943923811758334,3556.378681409989,0.3689370485036119,0.631062951496388,1087.5192666666667,37.19186666666667,31.748433333333335
1688,106.596,2,0.10420000000000018,436.0412317950003,166.21717216500025,269.8240596300001,0.0,166.21717216500025,0.0,270.15473291000006,-0.33067328000001,754.2109969124069,5.1151442221838535,-0.7145801044777731,-0.513944499076035,5514.480586718332,0.570460704607046,0.4295392953929539,998.5094,29.051299999999998,27.252499999999998
1717,103.4208,2,0.09584999999999999,213.48013303,85.39459802499998,128.085535005,-7.105427357601002e-15,85.39459802499998,0.0,128.085535005,0.0,535.9572674671268,4.645373095826895,-0.28004660597988734,0.6631175980761626,2070.966703625888,0.26706349206349206,0.732936507936508,856.58975,30.1637,22.26625
1718,97.524,3,0.09260000000000002,339.54555490166666,115.81808965666666,223.727465245,2.842170943040401e-14,115.81808965666666,0.0,223.727465245,0.0,610.1437197750604,4.903686667032151,-0.13187407927119854,-0.29940861150429987,3045.2418578007328,0.020202020202020204,0.9797979797979798,1119.3337333333334,36.1921,33.54183333333334
1729,105.6888,3,0.11386666666666663,410.33031096333326,207.05187525666656,203.27843570666664,0.0,207.05187525666656,0.0,204.35178686666666,-1.0733511600000067,622.4097735462686,4.185317088677702,-0.4967551620996391,-0.6374740499486092,3289.082763729232,0.5325158234971054,0.4674841765028946,1048.6872,34.67293333333333,34.429833333333335
